step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-507274.921312116,188.67331342,62644.1752307675
1,0.00225563909800162,0.59538341110079,-507394.658366949,189.0988923225,56690.3411197596
2,0.00451127819599812,1.18045514443376,-507502.736931026,189.524471224998,50839.6237864299
3,0.00676691729399974,1.7596372245628,-507598.976688252,189.950050127498,45047.8029851395
4,0.00902255639200136,2.33210436837659,-507683.642838075,190.375629029998,39323.1315470016
5,0.011278195489998,2.89605843685166,-507756.970852547,190.801207932496,33683.5908622509
6,0.0135338345879996,3.45139360031116,-507818.976687858,191.226786834996,28130.2392276559
7,0.0157894736860013,3.99884456817646,-507869.921780629,191.652365737496,22655.7295490029
8,0.0180451127839976,4.53842124170041,-507909.959213737,192.077944639994,17259.9628137634
9,0.0203007518819994,5.07066999864556,-507939.241558128,192.503523542494,11937.4752443119
10,0.022556390980001,5.59830424546436,-507957.915401586,192.929102444994,6661.13277612391
11,0.0248120300779973,6.12158796915598,-507966.039550079,193.354681347492,1428.29553920771
12,0.0270676691759991,6.63893976565438,-507963.703508607,193.780260249992,-3745.22242577634
13,0.0293233082740009,7.15138092332741,-507951.058740368,194.205839152492,-8869.63400250663
14,0.0315789473720027,7.6670559122487,-507928.156847236,194.631418054992,-14026.3838917195
15,0.033834586469999,8.38404000224105,-507894.253998391,195.05699695749,-21196.224791643
16,0.0360902255680006,9.63487398326311,-507839.173067383,195.48257585999,-33704.5646018636
17,0.0383458646660024,10.866704963356,-507759.143366421,195.90815476249,-46022.8744027921
18,0.0406015037639987,12.0618794208607,-507654.729236056,196.333733664988,-57974.618977839
19,0.0428571428620004,12.9747199527751,-507530.94220712,196.759312567488,-67103.0242969837
20,0.045112781960002,14.205743382705,-507383.970070669,197.184891469988,-79413.2585962827
21,0.0473684210579986,15.4191605344036,-507212.416714486,197.610470372486,-91547.4301132682
22,0.0496240601560003,16.6051927115199,-507016.839322111,198.036049274986,-103407.751884432
23,0.0518796992540019,17.7231559613251,-506798.187419712,198.461628177486,-114587.384382484
24,0.0541353383519984,18.3145257492674,-506569.542412898,198.887207079984,-120501.082261907
25,0.05639097745,18.7935556887522,-506345.747584697,199.312785982484,-125291.381656755
26,0.0586466165480016,16.2772876316305,-506193.087038691,199.738364884984,-100128.701085538
27,0.0609022556459981,16.6495790018382,-505990.848506735,200.163943787482,-103851.614787615
28,0.0631578947439997,17.0344485948087,-505781.160260092,200.589522689982,-107700.310717319
29,0.0654135338420014,16.9124204899185,-505590.633346743,201.015101592482,-106480.029668418
30,0.067669172939998,17.1983753752283,-505387.298736592,201.44068049498,-109339.578521515
31,0.0699248120379996,17.82619667415,-505174.211427639,201.86625939748,-115617.791510733
32,0.0721804511360012,18.6051688782386,-504936.280062533,202.29183829998,-123407.513551618
33,0.0744360902339976,19.3473875682357,-504684.371611116,202.717417202478,-130829.70045159
34,0.0766917293319994,19.888731549833,-504433.33988866,203.142996104978,-136243.140267562
35,0.078947368430001,18.1640082387815,-504339.968070451,203.568575007478,-118995.907157048
36,0.0812030075279973,18.7421167026721,-504101.374503694,203.994153909976,-124776.991795954
37,0.0834586466259993,18.5640478895068,-503904.214746178,204.419732812476,-122996.303664301
38,0.0857142857240009,19.1391248113129,-503658.17274906,204.845311714976,-128747.072882362
39,0.0879699248220027,18.9526724233923,-503450.032336992,205.270890617476,-126882.549003155
40,0.090225563919999,19.5509296271204,-503194.053910602,205.696469519974,-132865.121040436
41,0.0924812030180006,19.4672642266832,-502973.637094444,206.122048422474,-132028.467036065
42,0.0947368421160023,20.086684146804,-502706.035432214,206.547627324974,-138222.666237273
43,0.0969924812139987,20.3306869066692,-502461.330844232,206.973206227472,-140662.693835925
44,0.0992481203120004,20.5082832469657,-502213.296640968,207.398785129972,-142438.657238889
45,0.101503759410002,20.809252955796,-501952.480361979,207.824364032472,-145448.354327193
46,0.103759398507999,21.2396838726567,-501671.188515121,208.24994293497,-149752.6634958
47,0.106015037606,21.0860845610769,-501442.639665954,208.67552183747,-148216.670380001
48,0.108270676704002,21.5230423452327,-501155.436517507,209.10110073997,-152586.24822156
49,0.110526315801998,21.7396489026741,-500879.816790986,209.526679642468,-154752.313795974
50,0.1127819549,21.7876840000621,-500614.449911204,209.952258544968,-155232.664769853
51,0.115037593998002,21.9499180156206,-500336.552035258,210.377837447468,-156855.004925439
52,0.117293233095998,22.2091099576602,-500044.328688221,210.803416349966,-159446.924345834
53,0.119548872194,22.4760425571057,-499744.093994152,211.228995252466,-162116.250340289
54,0.121804511292001,22.6035314553191,-499457.369264081,211.654574154966,-163391.139322424
55,0.124060150389998,22.8781697981242,-499155.185662173,212.080153057464,-166137.522750475
56,0.126315789488,22.782205455517,-498894.494660896,212.505731959964,-165177.879324402
57,0.128571428586001,23.1366463568887,-498573.893513023,212.931310862464,-168722.28833812
58,0.130827067683997,22.9130286500671,-498315.656557374,213.356889764962,-166486.111269904
59,0.133082706781999,23.1353360100706,-498005.59293123,213.782468667462,-168709.184869938
60,0.135338345880001,23.2545057833312,-497699.503540003,214.208047569962,-169900.882602545
61,0.137593984977997,23.5284714539857,-497377.755319205,214.63362647246,-172640.539309089
62,0.139849624075999,23.64186489646,-497067.474518503,215.05920537496,-173774.473733833
63,0.142105263174001,23.8369507920961,-496744.627389077,215.48478427746,-175725.332690194
64,0.144360902272002,23.9254010028676,-496436.986857555,215.910363179959,-176609.834797908
65,0.146616541369999,23.783743399704,-496161.898824579,216.335942082458,-175193.258766272
66,0.148872180468001,23.9971849786793,-495831.861879358,216.761520984958,-177327.674556026
67,0.151127819566002,24.0423038046513,-495523.015625752,217.187099887458,-177778.862815746
68,0.153383458663999,24.1029216396501,-495216.951648093,217.612678789956,-178385.041165734
69,0.155639097762,24.1419753689662,-494909.418234203,218.038257692456,-178775.578458895
70,0.157894736860002,24.2148214043836,-494602.169393721,218.463836594956,-179504.038813069
71,0.160150375957999,24.2245863254122,-494294.423766921,218.889415497454,-179601.688023355
72,0.162406015056,24.4388716069915,-493955.348147394,219.314994399954,-181744.540839148
73,0.164661654154002,24.2864810194986,-493677.274917827,219.740573302454,-180220.634964218
74,0.166917293251998,24.1360939112854,-493393.589223624,220.166152204952,-178716.763882087
75,0.16917293235,23.9939289470467,-493121.278941118,220.591731107452,-177295.1142397
76,0.171428571448002,23.9446578776621,-492822.092956704,221.017310009952,-176802.403545853
77,0.173684210545998,24.1041536772728,-492491.851416163,221.44288891245,-178397.361541961
78,0.175939849644,24.2084537067025,-492165.933856755,221.86846781495,-179440.361836258
79,0.178195488742001,24.3386113222329,-491833.014747107,222.29404671745,-180741.937991562
80,0.180451127839998,24.2785387341026,-491546.782089113,222.719625619948,-180141.212110259
81,0.182706766938,24.393275685472,-491215.759424152,223.145204522448,-181288.581623953
82,0.184962406036001,24.3510281590208,-490919.038413205,223.570783424948,-180866.106359441
83,0.187218045133997,24.5060174849421,-490580.180074605,223.996362327446,-182415.999618654
84,0.189473684231999,24.1530899710862,-490393.989123388,224.421941229946,-178886.724480094
85,0.191729323330001,23.9595287112008,-490172.154134038,224.847520132446,-176951.111881241
86,0.193984962427997,24.134234214749,-489838.291798224,225.273099034944,-178698.166916722
87,0.196240601525999,24.2950815185097,-489503.565931095,225.698677937444,-180306.63995433
88,0.198496240624001,24.3917776580923,-489179.967688531,226.124256839944,-181273.601350155
89,0.200751879722002,24.5250715001049,-488849.799484496,226.549835742443,-182606.539770282
90,0.203007518819999,24.5711184618156,-488534.18723529,226.975414644942,-183067.009387388
91,0.205263157918001,24.6996810255744,-488198.683414788,227.400993547442,-184352.635024977
92,0.207518797016002,24.8426720711677,-487853.311265765,227.826572449942,-185782.54548091
93,0.209774436113999,24.9459627805163,-487515.098165674,228.25215135244,-186815.452574396
94,0.212030075212,25.0518644861572,-487177.259232866,228.67773025494,-187874.469630804
95,0.214285714310002,25.1559721676656,-486834.697860058,229.10330915744,-188915.546445888
96,0.216541353407999,25.2324684333499,-486496.62208765,229.528888059938,-189680.509102731
97,0.218796992506,25.3377622795807,-486145.830910771,229.954466962438,-190733.447565039
98,0.221052631604002,25.4124745551042,-485799.141663368,230.380045864938,-191480.570320275
99,0.223308270701998,25.5369183549998,-485439.45637831,230.805624767436,-192725.008319231
100,0.2255639098,25.5784018011385,-485103.50100915,231.231203669936,-193139.842780618
101,0.227819548898002,25.6484469385413,-484757.394720238,231.656782572436,-193840.294154646
102,0.230075187995998,25.7629103916713,-484393.182607416,232.082361474934,-194984.928685946
103,0.232330827094,25.8489031644662,-484036.793552783,232.507940377434,-195844.856413894
104,0.234586466192001,25.9153543022564,-483685.161927645,232.933519279934,-196509.367791797
105,0.236842105289998,26.003609969692,-483326.851512654,233.359098182432,-197391.924466152
106,0.239097744388,26.0899736081064,-482964.797545608,233.784677084932,-198255.560850297
107,0.241353383486001,26.1332457797937,-482615.919116758,234.210255987432,-198688.28256717
108,0.243609022583997,26.2172340445725,-482254.215161746,234.63583488993,-199528.165214958
