step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-395903.6885,182.5261777,44635.01153
1,0.002255639,0.731590468,-395968.1787,182.9378909,37319.10685
2,0.004511278,1.473335462,-396021.1276,183.349604,29901.65691
3,0.006766917,2.120886251,-396064.2435,183.7613172,23426.14902
4,0.009022556,2.837997281,-396095.5629,184.1730304,16255.03872
5,0.011278195,3.496777354,-396116.9866,184.5847436,9667.237989
6,0.013533835,4.166520929,-396127.488,184.9964568,2969.802238
7,0.015789474,4.833152384,-396127.553,185.40817,-3696.512307
8,0.018045113,5.473246353,-396117.8607,185.8198831,-10097.452
9,0.020300752,6.086297281,-396098.526,186.2315963,-16227.96128
10,0.022556391,6.69893488,-396069.0697,186.6433095,-22354.33727
11,0.02481203,7.347037154,-396028.9759,187.0550227,-28835.36001
12,0.027067669,7.946746407,-395980.0069,187.4667359,-34832.45254
13,0.029323308,8.516215754,-395922.2641,187.8784491,-40527.14601
14,0.031578947,9.134334409,-395854.3824,188.2901622,-46708.33255
15,0.033834586,10.0480669,-395774.332,188.7018754,-55845.65744
16,0.036090226,11.03819703,-395679.2771,189.1135886,-65746.95878
17,0.038345865,11.86353879,-395570.892,189.5253018,-74000.37642
18,0.040601504,12.72402544,-395448.2269,189.937015,-82605.24283
19,0.042857143,13.64227954,-395311.6412,190.3487282,-91787.78384
20,0.045112782,14.48422141,-395161.8504,190.7604413,-100207.2026
21,0.047368421,15.46960204,-394997.1725,191.1721545,-110061.0089
22,0.04962406,16.29970477,-394820.7955,191.5838677,-118362.0362
23,0.051879699,17.08747685,-394632.2078,191.9955809,-126239.7569
24,0.054135338,17.79710037,-394432.0764,192.4072941,-133335.9922
25,0.056390977,18.69760826,-394216.5971,192.8190072,-142341.0711
26,0.058646617,19.46161498,-393990.8285,193.2307204,-149981.1383
27,0.060902256,20.44855296,-393747.5146,193.6424336,-159850.5181
28,0.063157895,20.72544513,-393506.8262,194.0541468,-162619.4397
29,0.065413534,21.5969751,-393245.11,194.46586,-171334.7394
30,0.067669173,22.11718494,-392978.206,194.8775732,-176536.8378
31,0.069924812,22.77115892,-392698.1831,195.2892863,-183076.5777
32,0.072180451,23.67790642,-392403.4281,195.7009995,-192144.0527
33,0.07443609,24.11873709,-392103.9401,196.1127127,-196552.3594
34,0.076691729,24.81838777,-391791.0713,196.5244259,-203548.8662
35,0.078947368,25.6318202,-391466.0043,196.9361391,-211683.1904
36,0.081203008,25.92241044,-391151.4929,197.3478523,-214589.0929
37,0.083458647,26.74322002,-390808.0161,197.7595654,-222797.1886
38,0.085714286,26.87920967,-390507.8568,198.1712786,-224157.0851
39,0.087969925,27.41723529,-390158.7073,198.5829918,-229537.3414
40,0.090225564,27.89512142,-389808.9181,198.994705,-234316.2027
41,0.092481203,28.43753185,-389440.4228,199.4064182,-239740.307
42,0.094736842,28.91865136,-389073.5926,199.8181314,-244551.5021
43,0.096992481,29.31900761,-388707.5705,200.2298445,-248555.0645
44,0.09924812,29.62213979,-388352.5866,200.6415577,-251586.3864
45,0.101503759,26.61775459,-388584.1182,201.0532709,-221542.5343
46,0.103759399,24.84542092,-388556.4698,201.4649841,-203819.1977
47,0.106015038,22.62789712,-388890.6313,201.8766973,-181643.9596
48,0.108270677,21.00581705,-389504.8275,202.2884105,-165423.159
49,0.110526316,20.38637182,-389563.6493,202.7001236,-159228.7066
50,0.112781955,20.38079871,-389436.937,203.1118368,-159172.9756
51,0.115037594,20.90881367,-389184.5693,203.52355,-164453.1252
52,0.117293233,20.90987751,-389064.0079,203.9352632,-164463.7636
53,0.119548872,21.01701591,-388961.7191,204.3469764,-165535.1476
54,0.121804511,21.50435341,-388707.4786,204.7586896,-170408.5226
55,0.12406015,21.87604161,-388471.638,205.1704027,-174125.4046
56,0.126315789,22.32649494,-388213.6182,205.5821159,-178629.9379
57,0.128571429,22.73982389,-387954.8713,205.9938291,-182763.2274
58,0.130827068,23.16939537,-387688.8761,206.4055423,-187058.9422
59,0.133082707,23.70727155,-387390.7017,206.8172555,-192437.704
60,0.135338346,24.07142371,-387103.485,207.2289686,-196079.2256
61,0.137593985,24.47579619,-386808.731,207.6406818,-200122.9504
62,0.139849624,24.90628869,-386503.1024,208.052395,-204427.8753
63,0.142105263,25.35140832,-386188.3841,208.4641082,-208879.0717
64,0.144360902,25.81867099,-385861.7306,208.8758214,-213551.6984
65,0.146616541,26.23008256,-385534.9868,209.2875346,-217665.8141
66,0.14887218,26.68911895,-385193.9012,209.6992477,-222256.178
67,0.15112782,26.93874561,-384876.3002,210.1109609,-224752.4445
68,0.153383459,27.34320839,-384533.0194,210.5226741,-228797.0724
