step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-516364.312426746,188.67331342,70780.2955993416
1,0.00225563909800162,0.638345934693921,-516504.304247382,189.0988923225,64396.8362524024
2,0.00451127819599812,1.27055101749084,-516628.486285212,189.524471224998,58074.7854244332
3,0.00676691729399974,1.87631698440983,-516750.58017661,189.950050127498,52017.1257552433
4,0.00902255639200136,2.49489613003305,-516849.704294336,190.375629029998,45831.3342990111
5,0.011278195489998,3.08923068058862,-516940.363984475,190.801207932496,39887.9887934553
6,0.0135338345879996,3.6794787046594,-517018.871828469,191.226786834996,33985.5085527476
7,0.0157894736860013,4.26891465608299,-517082.847505927,191.652365737496,28091.1490385117
8,0.0180451127839976,4.83790090626219,-517137.319456551,192.077944639994,22401.2865367197
9,0.0203007518819994,5.39659950450619,-517180.714217136,192.503523542494,16814.3005542797
10,0.022556390980001,5.96879168985672,-517209.21134512,192.929102444994,11092.3787007743
11,0.0248120300779973,6.53837492948345,-517226.047457448,193.354681347492,5396.54630450705
12,0.0270676691759991,7.04277309902595,-517245.228923221,193.780260249992,352.564609082148
13,0.0293233082740009,7.55223301123241,-517256.145184498,194.205839152492,-4742.03451298252
14,0.0315789473720027,8.05730370625676,-517253.218834579,194.631418054992,-9792.74146322599
15,0.033834586469999,8.60686847555973,-517229.070776313,195.05699695749,-15288.3891562556
16,0.0360902255680006,9.14664712951329,-517198.227839586,195.48257585999,-20686.1756957913
17,0.0383458646660024,9.7631241029584,-517163.165983825,195.90815476249,-26850.9454302424
18,0.0406015037639987,10.8672792393436,-517112.655711538,196.333733664988,-37892.4967940942
19,0.0428571428620004,12.1685321665034,-517028.85750211,196.759312567488,-50905.0260656922
20,0.045112781960002,13.23993109363,-516931.316264311,197.184891469988,-61619.0153369585
21,0.0473684210579986,14.2925335272522,-516814.613611956,197.610470372486,-72145.0396731803
22,0.0496240601560003,15.351100189695,-516675.925464482,198.036049274986,-82730.7062976087
23,0.0518796992540019,16.5555425663203,-516500.093844974,198.461628177486,-94775.1300638617
24,0.0541353383519984,17.4491055287035,-516320.135835498,198.887207079984,-103710.759687693
25,0.05639097745,18.3640124516506,-516116.551722798,199.312785982484,-112859.828917164
26,0.0586466165480016,19.0094839726719,-515908.267078504,199.738364884984,-119314.544127377
27,0.0609022556459981,19.5197700083056,-515693.834717024,200.163943787482,-124417.404483714
28,0.0631578947439997,20.5383896526714,-515437.48395788,200.589522689982,-134603.600927372
29,0.0654135338420014,20.4716961164305,-515223.611433448,201.015101592482,-133936.665564963
30,0.067669172939998,20.2775475793838,-515008.568129348,201.44068049498,-131995.180194496
31,0.0699248120379996,19.3856879535075,-514836.0243696,201.86625939748,-123076.583935733
32,0.0721804511360012,18.9685581487108,-514658.079048708,202.29183829998,-118905.285887766
33,0.0744360902339976,18.6991491284416,-514475.761357841,202.717417202478,-116211.195685074
34,0.0766917293319994,18.7585203264411,-514278.074165265,203.142996104978,-116804.907665069
35,0.078947368430001,19.0418058201693,-514064.929566762,203.568575007478,-119637.762602351
36,0.0812030075279973,19.5858329972192,-513830.300380919,203.994153909976,-125078.03437285
37,0.0834586466259993,19.6024056803921,-513629.139715052,204.419732812476,-125243.761204579
38,0.0857142857240009,19.5211746302092,-513448.169519615,204.845311714976,-124431.45070275
39,0.0879699248220027,19.9111693316457,-513225.429581703,205.270890617476,-128331.397717115
40,0.090225563919999,20.5932920662919,-512965.253847455,205.696469519974,-135152.625063577
41,0.0924812030180006,21.2209596931772,-512696.218153551,206.122048422474,-141429.30133243
42,0.0947368421160023,21.5265702058925,-512460.588268894,206.547627324974,-144485.406459583
43,0.0969924812139987,21.894889221184,-512215.093554679,206.973206227472,-148168.596612498
44,0.0992481203120004,22.4711386382128,-511925.734992011,207.398785129972,-153931.090782786
45,0.101503759410002,22.9669187893908,-511633.757702142,207.824364032472,-158888.892294566
46,0.103759398507999,23.3773781296906,-511338.168508955,208.24994293497,-162993.485697564
47,0.106015037606,23.4451013961607,-511071.550359198,208.67552183747,-163670.718362265
48,0.108270676704002,23.6855811193809,-510783.92735962,209.10110073997,-166075.515594467
49,0.110526315801998,23.4117049567883,-510543.34831648,209.526679642468,-163336.753968541
50,0.1127819549,24.0423174738388,-510210.47885847,209.952258544968,-169642.879139046
51,0.115037593998002,23.6245430993282,-509989.964687084,210.377837447468,-165465.13539394
52,0.117293233095998,23.7571175009748,-509711.628125336,210.803416349966,-166790.879410406
53,0.119548872194,24.1272363966582,-509398.472486549,211.228995252466,-170492.06836724
54,0.121804511292001,24.1180474686896,-509125.847337033,211.654574154966,-170400.179087554
55,0.124060150389998,24.4195747867716,-508810.163408854,212.080153057464,-173415.452268374
56,0.126315789488,24.7346078934845,-508487.405346645,212.505731959964,-176565.783335503
57,0.128571428586001,25.0510531235168,-508158.159327816,212.931310862464,-179730.235635826
58,0.130827067683997,25.1256485144725,-507856.924342333,213.356889764962,-180476.189545383
59,0.133082706781999,24.8651405740649,-507605.435336147,213.782468667462,-177871.110141307
60,0.135338345880001,24.7502939974512,-507337.674900931,214.208047569962,-176722.64437517
61,0.137593984977997,24.661985384494,-507069.075156444,214.63362647246,-175839.558245598
62,0.139849624075999,24.8128430838217,-506764.874658791,215.05920537496,-177348.135238875
63,0.142105263174001,24.9196478201596,-506462.929646338,215.48478427746,-178416.182602254
64,0.144360902272002,24.9691313517661,-506168.278640875,215.910363179959,-178911.017918319
65,0.146616541369999,24.6977674118874,-505930.60379519,216.335942082458,-176197.378519532
66,0.148872180468001,24.6838834888585,-505653.381056807,216.761520984958,-176058.539289243
67,0.151127819566002,24.5674786425473,-505394.303560255,217.187099887458,-174894.490826131
68,0.153383458663999,24.5636322484911,-505117.97183536,217.612678789956,-174856.026885569
69,0.155639097762,24.3969003653758,-504874.663711232,218.038257692456,-173188.708054416
70,0.157894736860002,24.428024074315,-504596.332719412,218.463836594956,-173499.945143808
