step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-508175.373233149,188.67331342,63469.3946075499
1,0.00225563909800162,0.60870388299114,-508296.709893603,189.0988923225,57382.3557776385
2,0.00451127819599812,1.19172891891969,-508406.339960243,189.524471224998,51552.105418353
3,0.00676691729399974,1.77325816368036,-508504.132789212,189.950050127498,45736.8129707463
4,0.00902255639200136,2.34795953415261,-508590.346540092,190.375629029998,39989.7992660238
5,0.011278195489998,2.94133150856852,-508664.658473436,190.801207932496,34056.0795218647
6,0.0135338345879996,3.51525100197184,-508728.28732808,191.226786834996,28316.8845878315
7,0.0157894736860013,4.05636460491208,-508781.091029789,191.652365737496,22905.7485584291
8,0.0180451127839976,4.5777762661326,-508823.281493004,192.077944639994,17691.6319462239
9,0.0203007518819994,5.10060121086453,-508854.26686779,192.503523542494,12463.3824989046
10,0.022556390980001,5.62832785306266,-508874.441813032,192.929102444994,7186.1160769233
11,0.0248120300779973,6.16106088736012,-508883.879793095,193.354681347492,1858.78573394874
12,0.0270676691759991,6.67366103319547,-508883.289764553,193.780260249992,-3267.2157244048
13,0.0293233082740009,7.21078511440016,-508871.427215213,194.205839152492,-8638.45653645172
14,0.0315789473720027,7.75424225698005,-508848.678690292,194.631418054992,-14073.0279622506
15,0.033834586469999,8.27879306375649,-508818.046906588,195.05699695749,-19318.536030015
16,0.0360902255680006,9.50269810898598,-508767.701650396,195.48257585999,-31557.5864823099
17,0.0383458646660024,10.7383577759942,-508693.409522982,195.90815476249,-43914.1831523926
18,0.0406015037639987,12.0251811054369,-508592.702888076,196.333733664988,-56782.4164468191
19,0.0428571428620004,13.0273958726218,-508471.102531132,196.759312567488,-66804.5641186678
20,0.045112781960002,14.2484402155335,-508325.761655551,197.184891469988,-79015.0075477852
21,0.0473684210579986,15.5015857154873,-508155.230388143,197.610470372486,-91546.4625473229
22,0.0496240601560003,16.5696337063324,-507965.575796006,198.036049274986,-102226.942455774
23,0.0518796992540019,17.1786147884886,-507765.516118573,198.461628177486,-108316.753277336
24,0.0541353383519984,17.993740135397,-507541.718735518,198.887207079984,-116468.00674642
25,0.05639097745,18.6715779335768,-507312.290150714,199.312785982484,-123246.384728218
26,0.0586466165480016,16.5430892936023,-507154.13737455,199.738364884984,-101961.498328473
27,0.0609022556459981,16.5771579126325,-506958.708834802,200.163943787482,-102302.184518775
28,0.0631578947439997,17.0484179687212,-506754.989275944,200.589522689982,-107014.785079662
29,0.0654135338420014,16.632527524498,-506574.25937096,201.015101592482,-102855.88063743
30,0.067669172939998,17.1057902535085,-506367.872143749,201.44068049498,-107588.507927535
31,0.0699248120379996,17.2920748854688,-506169.175731504,201.86625939748,-109451.354247138
32,0.0721804511360012,17.7634644690603,-505956.677514954,202.29183829998,-114165.250083053
33,0.0744360902339976,17.7461566112026,-505767.601429713,202.717417202478,-113992.171504476
34,0.0766917293319994,18.5271234672225,-505531.763809527,203.142996104978,-121801.840064675
35,0.078947368430001,19.0444836729494,-505292.766820873,203.568575007478,-126975.442121944
36,0.0812030075279973,19.7075668472398,-505035.849205339,203.994153909976,-133606.273864848
37,0.0834586466259993,19.6995761398066,-504808.439172297,204.419732812476,-133526.366790516
38,0.0857142857240009,19.5955346604446,-504597.78075222,204.845311714976,-132485.951996896
39,0.0879699248220027,20.2218636718291,-504330.936409876,205.270890617476,-138749.242110741
40,0.090225563919999,20.1679841867854,-504105.356036757,205.696469519974,-138210.447260304
41,0.0924812030180006,20.2565416823045,-503875.14123397,206.122048422474,-139096.022215495
42,0.0947368421160023,20.8017255809363,-503600.310348816,206.547627324974,-144547.861201813
43,0.0969924812139987,20.3321342871431,-503406.978608198,206.973206227472,-139851.948263881
44,0.0992481203120004,20.6117700991549,-503156.730140433,207.398785129972,-142648.306383999
45,0.101503759410002,21.1680026648779,-502872.642251775,207.824364032472,-148210.632041229
46,0.103759398507999,21.1212896582525,-502629.936893362,208.24994293497,-147743.501974975
47,0.106015037606,21.5097738063926,-502346.781069827,208.67552183747,-151628.343456376
48,0.108270676704002,21.5709199771105,-502089.867581357,209.10110073997,-152239.805163555
49,0.110526315801998,21.9210379592665,-501800.173315453,209.526679642468,-155740.984985115
