step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-395780.4826,182.5261777,44485.59432
1,0.002255639,0.764261684,-395844.4085,182.9378909,36842.97748
2,0.004511278,1.447980638,-395897.8457,183.349604,30005.78793
3,0.006766917,2.133050197,-395940.2577,183.7613172,23155.09235
4,0.009022556,2.8107261,-395971.8836,184.1730304,16378.33332
5,0.011278195,3.480146165,-395992.889,184.5847436,9684.132666
6,0.013533835,4.18974238,-396002.5462,184.9964568,2588.170511
7,0.015789474,4.790123379,-396003.679,185.40817,-3415.63947
8,0.018045113,5.477362208,-395992.9253,185.8198831,-10288.02776
9,0.020300752,6.073317732,-395973.6418,186.2315963,-16247.58301
10,0.022556391,6.7190713,-395943.3254,186.6433095,-22705.11868
11,0.02481203,7.314760879,-395904.1817,187.0550227,-28662.01448
12,0.027067669,7.901891254,-395855.2255,187.4667359,-34533.31822
13,0.029323308,8.490043083,-395796.6696,187.8784491,-40414.83651
14,0.031578947,9.133053753,-395728.4136,188.2901622,-46844.94321
15,0.033834586,10.03541935,-395648.1407,188.7018754,-55868.5992
16,0.036090226,10.95396743,-395553.2458,189.1135886,-65054.07998
17,0.038345865,11.83934718,-395444.1928,189.5253018,-73907.8775
18,0.040601504,12.72391597,-395321.2066,189.937015,-82753.5654
19,0.042857143,13.58702912,-395184.5399,190.3487282,-91384.69691
20,0.045112782,14.43170532,-395034.4258,190.7604413,-99831.45891
21,0.047368421,15.27441517,-394871.0803,191.1721545,-108258.5574
22,0.04962406,16.08792579,-394694.762,191.5838677,-116393.6636
23,0.051879699,16.90606681,-394505.655,191.9955809,-124575.0738
24,0.054135338,17.68771566,-394304.0412,192.4072941,-132391.5623
25,0.056390977,18.4692886,-394090.0792,192.8190072,-140207.2917
26,0.058646617,19.23423746,-393863.9944,193.2307204,-147856.7803
27,0.060902256,19.9956559,-393625.8824,193.6424336,-155470.9647
28,0.063157895,20.73684595,-393375.9585,194.0541468,-162882.8652
29,0.065413534,21.47990167,-393114.3967,194.46586,-170313.4224
30,0.067669173,22.18655666,-392841.4513,194.8775732,-177379.9723
31,0.069924812,22.89949894,-392557.2629,195.2892863,-184509.3951
32,0.072180451,23.59054055,-392262.0607,195.7009995,-191419.8112
33,0.07443609,24.26701838,-391956.0217,196.1127127,-198184.5895
34,0.076691729,24.93587501,-391639.3376,196.5244259,-204873.1558
35,0.078947368,25.59299469,-391312.2046,196.9361391,-211444.3526
36,0.081203008,26.23980211,-390974.8094,197.3478523,-217912.4268
37,0.083458647,26.65109752,-390661.2647,197.7595654,-222025.3809
38,0.085714286,26.88842413,-390366.4959,198.1712786,-224398.647
39,0.087969925,27.45728956,-390014.2562,198.5829918,-230087.3013
40,0.090225564,28.04462878,-389648.0083,198.994705,-235960.6935
41,0.092481203,28.42998684,-389301.8666,199.4064182,-239814.2741
42,0.094736842,29.0414539,-388920.0999,199.8181314,-245928.9447
43,0.096992481,29.63637369,-388528.9278,200.2298445,-251878.1426
44,0.09924812,30.24046955,-388128.4866,200.6415577,-257919.1012
45,0.101503759,30.80241681,-387719.0203,201.0532709,-263538.5737
46,0.103759399,30.83574304,-387392.8186,201.4649841,-263871.8361
47,0.106015038,31.40355132,-386973.6144,201.8766973,-269549.9189
48,0.108270677,31.95057856,-386545.6874,202.2884105,-275020.1912
49,0.110526316,31.49043138,-386318.3241,202.7001236,-270418.7195
50,0.112781955,32.0525567,-385888.8977,203.1118368,-276039.9727
51,0.115037594,31.57519266,-385661.804,203.52355,-271266.3323
52,0.117293233,32.13342197,-385231.0411,203.9352632,-276848.6254
53,0.119548872,31.65633101,-385004.9644,204.3469764,-272077.7158
54,0.121804511,32.31521637,-384572.1699,204.7586896,-278666.5694
55,0.12406015,31.74316254,-384347.7249,205.1704027,-272946.0311
56,0.126315789,31.70092554,-384018.5892,205.5821159,-272523.661
57,0.128571429,32.37564192,-383584.7581,205.9938291,-279270.8249
58,0.130827068,31.88703609,-383361.6208,206.4055423,-274384.7666
59,0.133082707,31.88952963,-383032.6155,206.8172555,-274409.702
60,0.135338346,31.38184255,-382807.2101,207.2289686,-269332.8312
61,0.137593985,31.36633605,-382474.7746,207.6406818,-269177.7661
62,0.139849624,32.09627768,-382045.8795,208.052395,-276477.1825
63,0.142105263,31.5703909,-381818.9457,208.4641082,-271218.3147
64,0.144360902,32.24008844,-381387.3636,208.8758214,-277915.29
65,0.146616541,31.68613531,-381162.0083,209.2875346,-272375.7588
66,0.14887218,32.31257675,-380728.9903,209.6992477,-278640.1732
67,0.15112782,31.78418705,-380504.7788,210.1109609,-273356.2761
68,0.153383459,31.83909286,-380176.0712,210.5226741,-273905.3343
69,0.155639098,31.89424532,-379847.2911,210.9343873,-274456.8589
70,0.157894737,31.26817662,-379616.8569,211.3461005,-268196.1719
71,0.160150376,32.01669161,-379189.4263,211.7578137,-275681.3218
72,0.162406015,31.423909,-378961.077,212.1695268,-269753.4956
73,0.164661654,32.19652894,-378531.1147,212.58124,-277479.6951
74,0.166917293,31.55560062,-378304.5248,212.9929532,-271070.4118
75,0.169172932,32.25017112,-377872.9841,213.4046664,-278016.1168
76,0.171428571,31.66773532,-377647.6216,213.8163796,-272191.7589
77,0.173684211,32.03514964,-377266.9695,214.2280928,-275865.9021
78,0.17593985,31.78677084,-376990.4255,214.6398059,-273382.1141
79,0.178195489,31.84228242,-376661.7151,215.0515191,-273937.2299
80,0.180451128,30.9611586,-376421.8445,215.4632323,-265125.9917
81,0.182706767,31.96636715,-376004.0591,215.8749455,-275178.0772
82,0.184962406,31.13713376,-375768.1813,216.2866587,-266885.7433
83,0.187218045,32.0920338,-375346.0695,216.6983719,-276434.7437
84,0.189473684,31.45771116,-375118.3523,217.110085,-270091.5173
85,0.191729323,32.2456242,-374687.5535,217.5217982,-277970.6477
86,0.193984962,31.58296681,-374461.679,217.9335114,-271344.0738
87,0.196240602,32.36994142,-374028.9522,218.3452246,-279213.8199
88,0.198496241,31.71123009,-373804.6868,218.7569378,-272626.7066
89,0.20075188,31.72062034,-373474.7837,219.1686509,-272720.609
90,0.203007519,32.58277731,-373039.5965,219.5803641,-281342.1788
91,0.205263158,31.91528459,-372818.5601,219.9920773,-274667.2516
92,0.207518797,31.10571087,-372584.632,220.4037905,-266571.5144
93,0.209774436,32.05782354,-372160.6844,220.8155037,-276092.6411
94,0.212030075,31.15924667,-371920.4945,221.2272169,-267106.8724
95,0.214285714,32.19166575,-371502.2715,221.63893,-277431.0632
96,0.216541353,31.47195686,-371275.5468,222.0506432,-270233.9743
97,0.218796993,32.37593086,-370843.6164,222.4623564,-279273.7143
98,0.221052632,31.61846439,-370618.8153,222.8740696,-271699.0496
99,0.223308271,32.52882035,-370184.4841,223.2857828,-280802.6092
100,0.22556391,31.77229999,-369961.7049,223.697496,-273237.4055
