step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-507277.520773264,188.67331342,62647.6673671929
1,0.00225563909800162,0.59981272459106,-507397.250772471,189.0988923225,56649.5401212823
2,0.00451127819599812,1.18014557852434,-507505.348949842,189.524471224998,50846.2115819495
3,0.00676691729399974,1.7623853228388,-507601.553871076,189.950050127498,45023.8141388049
4,0.00902255639200136,2.34892116557398,-507686.141785009,190.375629029998,39158.4557114531
5,0.011278195489998,2.9178852813898,-507759.421994108,190.801207932496,33468.8145532949
6,0.0135338345879996,3.45361513300412,-507821.608707465,191.226786834996,28111.5160371517
7,0.0157894736860013,4.00177200488129,-507872.557453221,191.652365737496,22629.94731838
8,0.0180451127839976,4.54272978827168,-507912.596802499,192.077944639994,17220.3694844761
9,0.0203007518819994,5.07404983924378,-507941.886944867,192.503523542494,11907.1689747551
10,0.022556390980001,5.59975583093291,-507960.566847735,192.929102444994,6650.10905786378
11,0.0248120300779973,6.12471348455301,-507968.695261127,193.354681347492,1400.5325216628
12,0.0270676691759991,6.64021757060113,-507966.366838333,193.780260249992,-3754.50833881843
13,0.0293233082740009,7.15172796663149,-507953.727016701,194.205839152492,-8869.61229912195
14,0.0315789473720027,7.66789826894201,-507930.829210907,194.631418054992,-14031.3153222272
15,0.033834586469999,8.38303296066362,-507896.932366177,195.05699695749,-21182.6622394433
16,0.0360902255680006,9.63567024402791,-507841.862499589,195.48257585999,-33709.0350730862
17,0.0383458646660024,10.8665111133704,-507761.845109158,195.90815476249,-46017.4437665115
18,0.0406015037639987,11.9243901600196,-507660.673740553,196.333733664988,-56596.2342330036
19,0.0428571428620004,13.1953099316698,-507534.393180383,196.759312567488,-69305.4319495047
20,0.045112781960002,14.2037928966306,-507386.704059901,197.184891469988,-79390.2615991134
21,0.0473684210579986,15.422034141025,-507215.156979631,197.610470372486,-91572.6740430574
22,0.0496240601560003,16.6331601742108,-507019.446534079,198.036049274986,-103683.934374915
23,0.0518796992540019,17.7195566132341,-506800.947349324,198.461628177486,-114547.898765148
24,0.0541353383519984,18.3114569299669,-506572.319239431,198.887207079984,-120466.901932476
25,0.05639097745,18.8081336496229,-506348.600353038,199.312785982484,-125433.669129036
26,0.0586466165480016,16.7985499578988,-506191.022992998,199.738364884984,-105337.832211795
27,0.0609022556459981,16.3647761768547,-506015.297185165,200.163943787482,-101000.094401354
28,0.0631578947439997,16.5031248373558,-505825.497362881,200.589522689982,-102383.581006365
29,0.0654135338420014,16.9310766448905,-505624.191543026,201.015101592482,-106663.099081712
30,0.067669172939998,17.0072206809869,-505426.59709789,201.44068049498,-107424.539442676
31,0.0699248120379996,17.3722204359582,-505223.674552858,201.86625939748,-111074.536992389
32,0.0721804511360012,17.3294495383767,-505036.466532124,202.29183829998,-110646.828016574
33,0.0744360902339976,18.0715222915841,-504807.958170328,202.717417202478,-118067.555548648
34,0.0766917293319994,18.6648962871849,-504572.191478287,203.142996104978,-124001.295504656
35,0.078947368430001,19.189997565031,-504331.258123516,203.568575007478,-129252.308283117
36,0.0812030075279973,19.5532413247011,-504087.457978707,203.994153909976,-132884.745879818
37,0.0834586466259993,19.171965815813,-503889.657709029,204.419732812476,-129071.990790937
38,0.0857142857240009,19.2901790938604,-503671.376742042,204.845311714976,-130254.123571411
39,0.0879699248220027,19.4753346080555,-503435.977085995,205.270890617476,-132105.678713362
40,0.090225563919999,19.8166940079201,-503186.731747983,205.696469519974,-135519.272712008
41,0.0924812030180006,19.9051425645811,-502960.956068261,206.122048422474,-136403.758278618
42,0.0947368421160023,20.5253278288323,-502685.628565398,206.547627324974,-142605.61092113
43,0.0969924812139987,20.847550779856,-502423.676577071,206.973206227472,-145827.840431367
44,0.0992481203120004,20.9742604783917,-502175.044977376,207.398785129972,-147094.937416724
45,0.101503759410002,21.1493461227619,-501920.804194537,207.824364032472,-148845.793860426
46,0.103759398507999,21.0775950215989,-501682.432009444,208.24994293497,-148128.282848796
