step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-398396.157648907,182.52617768,47984.6385496768
1,0.00225563909800139,0.778092563507189,-398465.434572384,182.937890862784,40203.7129146049
2,0.00451127819599733,1.54427433553418,-398522.630180486,183.349604045567,32541.895194335
3,0.00676691729399872,2.29131349383883,-398567.984025775,183.76131722835,25071.5036112885
4,0.00902255639199996,3.03078345119055,-398601.627591632,184.173030411134,17676.8040377713
5,0.0112781954900015,3.74944057573901,-398624.051663708,184.584743593918,10490.2327922867
6,0.0135338345879974,4.44026863599699,-398637.733042518,184.996456776701,3581.95218970687
7,0.0157894736859987,5.13235733452246,-398638.813673115,185.408169959484,-3338.9347955478
8,0.0180451127840001,5.77494557028249,-398633.465937777,185.819883142268,-9764.8171531481
9,0.0203007518820013,6.45363632501249,-398612.943376401,186.231596325052,-16551.7247004481
10,0.0225563909799972,7.12053910011608,-398581.752811581,186.643309507835,-23220.752451484
11,0.0248120300779985,7.77328262563685,-398540.298009563,187.055022690618,-29748.1877066917
12,0.0270676691759999,8.39912494588904,-398490.458060302,187.466735873402,-36006.6109092136
13,0.0293233082740013,9.02265397623145,-398430.3420644,187.878449056186,-42241.9012126377
14,0.0315789473719972,9.64590522490191,-398359.43233797,188.290162238969,-48474.4136993423
15,0.0338345864699984,10.2492775177606,-398280.134903397,188.701875421752,-54508.1366279291
16,0.0360902255679998,10.8283169461987,-398197.307351558,189.113588604536,-60298.5309123103
17,0.0383458646660012,11.4304654157648,-398103.954845288,189.52530178732,-66320.0156079714
18,0.040601503763997,12.0880183265374,-398019.409783008,189.937014970102,-72895.5447156971
19,0.0428571428619984,13.0971338077427,-397897.47126828,190.348728152886,-82986.6995277501
20,0.0451127819599998,14.1818535857206,-397758.914649785,190.76044133567,-93833.8973075297
21,0.0473684210580013,15.1378075621297,-397607.91731555,191.172154518454,-103393.43707162
22,0.0496240601560027,16.1865425659622,-397437.416422087,191.583867701238,-113880.787109945
23,0.0518796992539985,17.0082568608559,-397258.387063848,191.99558088402,-122097.930058882
24,0.0541353383519999,17.9459061195404,-397061.796033617,192.407294066804,-131474.422645727
25,0.0563909774500013,18.6654433280667,-396859.534170239,192.819007249588,-138669.79473099
26,0.0586466165480027,19.2286919558755,-396656.194302564,193.230720432372,-144302.281009078
27,0.0609022556459985,19.8103318204611,-396447.443031068,193.642433615154,-150118.679654934
28,0.0631578947439999,20.6756181653097,-396208.319363396,194.054146797938,-158771.54310342
29,0.0654135338420013,21.4715139180385,-395960.747083375,194.465859980722,-166730.500630708
30,0.0676691729400026,22.1937975381537,-395703.777694146,194.877573163506,-173953.33683186
31,0.0699248120379984,22.7106442889695,-395456.74407693,195.289286346288,-179121.804340018
32,0.0721804511359998,23.5413064614657,-395171.345219447,195.700999529072,-187428.42606498
33,0.0744360902340012,24.1464397350326,-394890.325273369,196.112712711856,-193479.758800649
34,0.0766917293320025,24.8982078420103,-394585.677382278,196.52442589464,-200997.439870426
35,0.0789473684299984,25.5752209500686,-394272.037663529,196.936139077422,-207767.570951009
36,0.0812030075279998,26.4025402942917,-393939.76802817,197.347852260206,-216040.76439324
37,0.0834586466260012,26.8025321686398,-393626.078839335,197.75956544299,-220040.683136721
38,0.0857142857240024,27.1508281002678,-393327.73158954,198.171278625774,-223523.642453001
39,0.0879699248219983,27.8062729582873,-392981.688358451,198.582991808556,-230078.091033196
40,0.0902255639199997,28.5598109435494,-392616.007050819,198.99470499134,-237613.470885817
41,0.092481203018001,28.8524027342671,-392281.568633687,199.406418174124,-240539.388792994
42,0.0947368421160024,29.2063060969341,-391940.465520971,199.818131356908,-244078.422419664
43,0.0969924812139983,29.8499783896128,-391561.299437198,200.22984453969,-250515.145346451
44,0.0992481203119997,30.3080184834231,-391188.157560751,200.641557722474,-255095.546284554
45,0.101503759410001,29.9626482583153,-390892.225656136,201.053270905258,-251641.844033476
46,0.103759398508002,30.5584422259517,-390500.975507077,201.464984088042,-257599.78370984
47,0.106015037605998,27.933161528748,-390502.184582447,201.876697270824,-231346.976737803
48,0.108270676704,28.169437181699,-390210.430961854,202.288410453608,-233709.733267313
49,0.110526315802001,28.8778038310198,-389840.217301049,202.700123636392,-240793.399760521
50,0.112781954900003,28.3524273200972,-389627.067142725,203.111836819176,-235539.634651295
51,0.115037593997998,28.5565317378988,-389314.939813404,203.523550001958,-237580.678829311
52,0.117293233096,28.6184305816821,-389022.420769329,203.935263184742,-238199.667267144
53,0.119548872194001,28.6872425971132,-388727.740450503,204.346976367526,-238887.787421455
54,0.121804511292003,29.0249022399199,-388381.223560313,204.75868955031,-242264.383849522
55,0.124060150389998,28.9531278967109,-388095.781712807,205.170402733092,-241546.640417432
56,0.126315789488,28.7363646872231,-387849.529672103,205.582115915876,-239379.008322554
57,0.128571428586001,28.893210899256,-387536.199873394,205.99382909866,-240947.470442883
58,0.130827067684003,28.8516824956579,-387262.794846672,206.405542281444,-240532.186406902
59,0.133082706781998,28.4135778168258,-387082.753328635,206.817255464226,-236151.139618581
60,0.13533834588,28.3437039541955,-386824.976959,207.22896864701,-235452.400992278
61,0.137593984978001,27.887437711161,-386665.665575046,207.640681829794,-230889.738561933
62,0.139849624076002,27.6453664745219,-386471.470438605,208.052395012578,-228469.026195542
63,0.142105263173998,27.070639513809,-386426.662866053,208.46410819536,-222721.756588413
64,0.144360902271999,27.1681523794657,-386156.945856331,208.875821378144,-223696.88524498
65,0.146616541370001,27.1874801701166,-385908.688364548,209.287534560928,-223890.163151489
