chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.00053001666312709,0.37773234723111
2,2.0,0.2,0.00106003332625418,0.32638636989885
3,3.0,0.3,0.00159004998938127,0.58974845419525
4,4.0,0.4,0.00212006665250836,0.690304261781129
5,5.0,0.5,0.00265008331563545,0.64461082607669
6,6.0,0.6,0.00318009997876254,0.98628622229743
7,7.0,0.7,0.00371011664188963,1.16895700370671
8,8.0,0.8,0.00424013330501672,1.28448298222294
9,9.0,0.9,0.00477014996814381,1.53989095962703
10,10.0,1.0,0.0053001666312709,1.81791105705099
11,11.0,1.1,0.00583018329439799,1.90646069101162
12,12.0,1.2,0.00636019995752508,1.78969562588967
13,13.0,1.3,0.00689021662065217,2.1811390274295
14,14.0,1.4,0.00742023328377926,2.3671043679673
15,15.0,1.5,0.00795024994690635,2.21889366897614
16,16.0,1.6,0.00848026661003344,2.66116686118494
17,17.0,1.7,0.00901028327316053,2.67454863574022
18,18.0,1.8,0.00954029993628762,2.76202730791703
19,19.0,1.9,0.0100703165994147,3.20723267539713
20,20.0,2.0,0.0106003332625418,3.20094990752058
21,21.0,2.1,0.0111303499256689,3.34156139863606
22,22.0,2.2,0.011660366588796,3.55874568225508
23,23.0,2.3,0.0121903832519231,3.64974386489954
24,24.0,2.4,0.0127203999150502,3.77836708947553
25,25.0,2.5,0.0132504165781772,3.94802839016773
26,26.0,2.6,0.0137804332413043,4.05362283950434
27,27.0,2.7,0.0143104499044314,4.18971172668153
28,28.0,2.8,0.0148404665675585,4.23802557626392
29,29.0,2.9,0.0153704832306856,4.60728112442964
30,30.0,3.0,0.0159004998938127,4.50869285653966
31,31.0,3.1,0.0164305165569398,4.71582174209484
32,32.0,3.2,0.0169605332200669,5.11627672749607
33,33.0,3.3,0.017490549883194,5.02551847436872
34,34.0,3.4,0.0180205665463211,5.28714944813387
35,35.0,3.5,0.0185505832094481,5.51770873672173
36,36.0,3.6,0.0190805998725752,5.50386370478215
37,37.0,3.7,0.0196106165357023,5.57434677670598
38,38.0,3.8,0.0201406331988294,5.9645976079185
39,39.0,3.9,0.0206706498619565,5.97785401166451
40,40.0,4.0,0.0212006665250836,6.01033784072815
41,41.0,4.1,0.0217306831882107,6.32161598866094
42,42.0,4.2,0.0222606998513378,6.36289199093933
43,43.0,4.3,0.0227907165144649,6.49573853009449
44,44.0,4.4,0.023320733177592,6.51817440732563
45,45.0,4.5,0.023850749840719,6.96214705444882
46,46.0,4.6,0.0243807665038461,6.95555699326097
47,47.0,4.7,0.0249107831669732,7.13920949083916
48,48.0,4.8,0.0254407998301003,7.55061304776921
49,49.0,4.9,0.0259708164932274,7.39038317889187
50,50.0,5.0,0.0265008331563545,7.79409405645391
51,51.0,5.1,0.0270308498194816,7.78928997382875
52,52.0,5.2,0.0275608664826087,7.92461179219419
53,53.0,5.3,0.0280908831457358,8.51548604666561
54,54.0,5.4,0.0286208998088629,8.51540055059232
55,55.0,5.5,0.0291509164719899,8.98421436502067
56,56.0,5.6,0.029680933135117,8.97677626393384
57,57.0,5.7,0.0302109497982441,9.20988775966981
58,58.0,5.8,0.0307409664613712,9.5740725645055
59,59.0,5.9,0.0312709831244983,9.75653997182152
60,60.0,6.0,0.0318009997876254,10.2064797955571
61,61.0,6.1,0.0323310164507525,10.282457136884
62,62.0,6.2,0.0328610331138796,10.8043664043098
63,63.0,6.3,0.0333910497770067,10.9573945507096
64,64.0,6.4,0.0339210664401338,11.3954887191966
65,65.0,6.5,0.0344510831032608,11.5968635683444
66,66.0,6.6,0.0349810997663879,12.2008771869582
67,67.0,6.7,0.035511116429515,12.1604930122444
68,68.0,6.8,0.0360411330926421,12.7354755006205
69,69.0,6.9,0.0365711497557692,12.8785955580796
70,70.0,7.0,0.0371011664188963,13.3079601336189
71,71.0,7.1,0.0376311830820234,13.5301148152422
72,72.0,7.2,0.0381611997451505,14.0740932370054
73,73.0,7.3,0.0386912164082776,14.220884333437
74,74.0,7.4,0.0392212330714047,14.7676584481177
75,75.0,7.5,0.0397512497345317,14.8773269188385
76,76.0,7.6,0.0402812663976588,15.4296794590203
77,77.0,7.7,0.0408112830607859,15.6315980466728
78,78.0,7.8,0.041341299723913,16.0147764470523
79,79.0,7.9,0.0418713163870401,16.3183592596627
80,80.0,8.0,0.0424013330501672,16.74695428332
81,81.0,8.1,0.0429313497132943,16.7873079821232
82,82.0,8.2,0.0434613663764214,17.2109153529914
83,83.0,8.3,0.0439913830395485,17.3483991796984
84,84.0,8.4,0.0445213997026756,17.2584798012312
85,85.0,8.5,0.0450514163658026,17.5772890036013
86,86.0,8.6,0.0455814330289297,17.8895635947989
87,87.0,8.7,0.0461114496920568,18.2165576286485
88,88.0,8.8,0.0466414663551839,18.6026449658482
89,89.0,8.9,0.047171483018311,18.6776529744552
90,90.0,9.0,0.0477014996814381,18.7704668198464
91,91.0,9.1,0.0482315163445652,17.6704368512155
92,92.0,9.2,0.0487615330076923,17.0934499616812
93,93.0,9.3,0.0492915496708194,17.1501305688072
94,94.0,9.4,0.0498215663339465,16.8557746223658
95,95.0,9.5,0.0503515829970735,16.8497103228667
96,96.0,9.6,0.0508815996602006,16.7886039478936
97,97.0,9.7,0.0514116163233277,16.7806097002079
98,98.0,9.8,0.0519416329864548,16.9967587628257
99,99.0,9.9,0.0524716496495819,16.9975946611945
100,100.0,10.0,0.053001666312709,17.1339674391167
101,101.0,10.1,0.0535316829758361,17.2714009330811
102,102.0,10.2,0.0540616996389632,17.2624177771049
103,103.0,10.3,0.0545917163020903,17.3827744121909
104,104.0,10.4,0.0551217329652174,17.4061882513741
105,105.0,10.5,0.0556517496283444,17.2285753959087
106,106.0,10.6,0.0561817662914715,17.1385916308344
107,107.0,10.7,0.0567117829545986,17.4106017671286
108,108.0,10.8,0.0572417996177257,17.4344096458011
109,109.0,10.9,0.0577718162808528,17.6844354367074
110,110.0,11.0,0.0583018329439799,17.8674991022392
111,111.0,11.1,0.058831849607107,17.9810054634456
112,112.0,11.2,0.0593618662702341,18.0987352593736
113,113.0,11.3,0.0598918829333612,18.0300289164687
114,114.0,11.4,0.0604218995964883,17.9595236233372
115,115.0,11.5,0.0609519162596153,18.1679281281138
116,116.0,11.6,0.0614819329227424,18.2642623800612
117,117.0,11.7,0.0620119495858695,18.3315990410003
118,118.0,11.8,0.0625419662489966,18.5129478091823
119,119.0,11.9,0.0630719829121237,18.6624205210787
120,120.0,12.0,0.0636019995752508,18.697964726794
121,121.0,12.1,0.0641320162383779,18.853891485167
122,122.0,12.2,0.064662032901505,18.8459061262727
123,123.0,12.3,0.0651920495646321,18.8788434277236
124,124.0,12.4,0.0657220662277592,19.0919934883353
125,125.0,12.5,0.0662520828908862,18.9343777196062
126,126.0,12.6,0.0667820995540133,19.1049021292394
127,127.0,12.7,0.0673121162171404,18.9610777179754
128,128.0,12.8,0.0678421328802675,19.0529698283445
129,129.0,12.9,0.0683721495433946,18.9752482091676
130,130.0,13.0,0.0689021662065217,19.1844238151116
131,131.0,13.1,0.0694321828696488,19.2423623198845
132,132.0,13.2,0.0699621995327759,19.254099000904
133,133.0,13.3,0.070492216195903,19.2944007185339
134,134.0,13.4,0.0710222328590301,19.4223666411723
135,135.0,13.5,0.0715522495221571,19.4108025374003
136,136.0,13.6,0.0720822661852842,19.6739021748601
137,137.0,13.7,0.0726122828484113,19.695380788467
