chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.000557289397238533,0.481476991057019
2,2.0,0.2,0.00111457879447707,0.40677515015761
3,3.0,0.3,0.0016718681917156,0.894541710997309
4,4.0,0.4,0.00222915758895413,0.98278642165665
5,5.0,0.5,0.00278644698619267,1.26099416269048
6,6.0,0.6,0.0033437363834312,1.32591403424719
7,7.0,0.7,0.00390102578066973,1.25780859342248
8,8.0,0.8,0.00445831517790827,1.91097581687513
9,9.0,0.9,0.0050156045751468,1.84434112230992
10,10.0,1.0,0.00557289397238533,2.03138596716771
11,11.0,1.1,0.00613018336962387,2.27596311311042
12,12.0,1.2,0.0066874727668624,2.12891096129304
13,13.0,1.3,0.00724476216410093,2.82033126655221
14,14.0,1.4,0.00780205156133946,2.61412329173094
15,15.0,1.5,0.008359340958578,2.93189153808843
16,16.0,1.6,0.00891663035581653,3.01226170342067
17,17.0,1.7,0.00947391975305506,2.89809962225058
18,18.0,1.8,0.0100312091502936,3.59109810021396
19,19.0,1.9,0.0105884985475321,3.56024243154155
20,20.0,2.0,0.0111457879447707,3.74171103784357
21,21.0,2.1,0.0117030773420092,4.01894537494945
22,22.0,2.2,0.0122603667392477,3.9241585786019
23,23.0,2.3,0.0128176561364863,4.47345595419438
24,24.0,2.4,0.0133749455337248,4.24784401672475
25,25.0,2.5,0.0139322349309633,4.53386505547432
26,26.0,2.6,0.0144895243282019,4.81243564041312
27,27.0,2.7,0.0150468137254404,4.68182763196962
28,28.0,2.8,0.0156041031226789,5.2614942604129
29,29.0,2.9,0.0161613925199175,5.17253557166808
30,30.0,3.0,0.016718681917156,5.41493267226483
31,31.0,3.1,0.0172759713143945,5.41578268400509
32,32.0,3.2,0.0178332607116331,5.53370132464318
33,33.0,3.3,0.0183905501088716,6.02720105543575
34,34.0,3.4,0.0189478395061101,5.89618916477433
35,35.0,3.5,0.0195051289033487,5.96239813939498
36,36.0,3.6,0.0200624183005872,6.32988984639284
37,37.0,3.7,0.0206197076978257,6.29696766885117
38,38.0,3.8,0.0211769970950643,6.83951248588631
39,39.0,3.9,0.0217342864923028,6.77964309862189
40,40.0,4.0,0.0222915758895413,6.93874772822216
41,41.0,4.1,0.0228488652867799,7.23489318570969
42,42.0,4.2,0.0234061546840184,7.28354015294199
43,43.0,4.3,0.0239634440812569,7.87719063808503
44,44.0,4.4,0.0245207334784955,7.74143531634491
45,45.0,4.5,0.025078022875734,8.08776261258035
46,46.0,4.6,0.0256353122729725,8.26621635779955
47,47.0,4.7,0.0261926016702111,8.20998233214854
48,48.0,4.8,0.0267498910674496,8.90392619081766
49,49.0,4.9,0.0273071804646881,8.81757687230187
50,50.0,5.0,0.0278644698619267,9.44356043977501
51,51.0,5.1,0.0284217592591652,9.30284735651567
52,52.0,5.2,0.0289790486564037,9.80185587688201
53,53.0,5.3,0.0295363380536423,9.89326408259149
54,54.0,5.4,0.0300936274508808,10.3643519867304
55,55.0,5.5,0.0306509168481193,10.4566119254912
56,56.0,5.6,0.0312082062453579,10.7362203742081
57,57.0,5.7,0.0317654956425964,11.1040202809245
58,58.0,5.8,0.0323227850398349,11.2668151702568
59,59.0,5.9,0.0328800744370735,11.6579021949829
60,60.0,6.0,0.033437363834312,11.8608399854578
61,61.0,6.1,0.0339946532315505,12.1606174250641
62,62.0,6.2,0.0345519426287891,12.4416862356461
63,63.0,6.3,0.0351092320260276,12.604249728281
64,64.0,6.4,0.0356665214232661,12.7695319910776
65,65.0,6.5,0.0362238108205047,13.2160544400766
66,66.0,6.6,0.0367811002177432,13.443855768902
67,67.0,6.7,0.0373383896149817,13.691882567617
68,68.0,6.8,0.0378956790122203,14.1450446653743
69,69.0,6.9,0.0384529684094588,14.2682006700559
70,70.0,7.0,0.0390102578066973,14.6772686290382
71,71.0,7.1,0.0395675472039358,14.9188869124512
72,72.0,7.2,0.0401248366011744,15.1798966715098
73,73.0,7.3,0.0406821259984129,15.3916606584732
74,74.0,7.4,0.0412394153956515,15.5981391285864
75,75.0,7.5,0.04179670479289,15.8207945105958
76,76.0,7.6,0.0423539941901285,16.0467548726098
77,77.0,7.7,0.0429112835873671,16.3062545176477
78,78.0,7.8,0.0434685729846056,16.7350966957425
79,79.0,7.9,0.0440258623818441,16.9131578331797
80,80.0,8.0,0.0445831517790827,17.1443821096137
81,81.0,8.1,0.0451404411763212,17.4135491639722
82,82.0,8.2,0.0456977305735597,17.7098759034521
83,83.0,8.3,0.0462550199707983,17.8588507835159
84,84.0,8.4,0.0468123093680368,18.2597053244669
85,85.0,8.5,0.0473695987652753,18.5043431732973
86,86.0,8.6,0.0479268881625139,18.7754756774089
87,87.0,8.7,0.0484841775597524,19.0940991219512
88,88.0,8.8,0.0490414669569909,19.2064603128846
89,89.0,8.9,0.0495987563542295,19.3619198589655
90,90.0,9.0,0.050156045751468,19.2703458936529
91,91.0,9.1,0.0507133351487065,19.335440889533
92,92.0,9.2,0.051270624545945,19.1984325552835
93,93.0,9.3,0.0518279139431836,19.099290020093
94,94.0,9.4,0.0523852033404221,18.8013867237089
95,95.0,9.5,0.0529424927376606,18.9206952851696
96,96.0,9.6,0.0534997821348992,18.7415967451095
97,97.0,9.7,0.0540570715321377,18.7628681030307
98,98.0,9.8,0.0546143609293763,18.6640687882547
99,99.0,9.9,0.0551716503266148,18.602291354926
100,100.0,10.0,0.0557289397238533,18.732892896866
101,101.0,10.1,0.0562862291210918,18.4498918588605
102,102.0,10.2,0.0568435185183304,18.6320152597448
103,103.0,10.3,0.0574008079155689,18.5121453612118
104,104.0,10.4,0.0579580973128074,18.5808021805694
105,105.0,10.5,0.058515386710046,18.5629581521295
106,106.0,10.6,0.0590726761072845,18.4729996693596
107,107.0,10.7,0.059629965504523,18.6619527998996
108,108.0,10.8,0.0601872549017616,18.5049013507848
109,109.0,10.9,0.0607445442990001,18.4824021534831
110,110.0,11.0,0.0613018336962386,18.4982659873219
111,111.0,11.1,0.0618591230934772,18.442203688912
112,112.0,11.2,0.0624164124907157,18.4744299030906
113,113.0,11.3,0.0629737018879542,18.5326913317173
114,114.0,11.4,0.0635309912851928,18.517581947404
115,115.0,11.5,0.0640882806824313,18.5326021879128
116,116.0,11.6,0.0646455700796698,18.3814449111573
117,117.0,11.7,0.0652028594769084,18.4716247387833
118,118.0,11.8,0.0657601488741469,18.6591986396178
119,119.0,11.9,0.0663174382713854,18.5383464343435
120,120.0,12.0,0.066874727668624,18.4709522228815
121,121.0,12.1,0.0674320170658625,18.419052419649
122,122.0,12.2,0.067989306463101,18.4007987183629
123,123.0,12.3,0.0685465958603396,18.4552045410086
124,124.0,12.4,0.0691038852575781,18.3548533455291
125,125.0,12.5,0.0696611746548166,18.5049463978281
126,126.0,12.6,0.0702184640520552,18.4848150362718
127,127.0,12.7,0.0707757534492937,18.4463315088589
128,128.0,12.8,0.0713330428465322,18.4678762373295
129,129.0,12.9,0.0718903322437708,18.5214973248164
130,130.0,13.0,0.0724476216410093,18.6016525214795
131,131.0,13.1,0.0730049110382478,18.5024746203164
132,132.0,13.2,0.0735622004354864,18.6597222678215
133,133.0,13.3,0.0741194898327249,18.7730375989294
134,134.0,13.4,0.0746767792299634,18.9446158497282
135,135.0,13.5,0.075234068627202,19.0302826031922
