chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.00053001666312709,0.328701969608161
2,2.0,0.2,0.00106003332625418,0.0974998021068503
3,3.0,0.3,0.00159004998938127,0.54383432643489
4,4.0,0.4,0.00212006665250836,0.78529005615954
5,5.0,0.5,0.00265008331563545,0.62856223393589
6,6.0,0.6,0.00318009997876254,0.94226570605401
7,7.0,0.7,0.00371011664188963,1.1220503079621
8,8.0,0.8,0.00424013330501672,1.17192830978933
9,9.0,0.9,0.00477014996814381,1.41980860155942
10,10.0,1.0,0.0053001666312709,1.7226998403904
11,11.0,1.1,0.00583018329439799,1.81322893498827
12,12.0,1.2,0.00636019995752508,1.78509767047699
13,13.0,1.3,0.00689021662065217,2.13028464478927
14,14.0,1.4,0.00742023328377926,2.33855323594512
15,15.0,1.5,0.00795024994690635,2.13833059662928
16,16.0,1.6,0.00848026661003344,2.65338828259909
17,17.0,1.7,0.00901028327316053,2.61190712860105
18,18.0,1.8,0.00954029993628762,2.70684917342106
19,19.0,1.9,0.0100703165994147,3.18630811954284
20,20.0,2.0,0.0106003332625418,3.13572649357321
21,21.0,2.1,0.0111303499256689,3.24510369656603
22,22.0,2.2,0.011660366588796,3.54548324437998
23,23.0,2.3,0.0121903832519231,3.55690489563093
24,24.0,2.4,0.0127203999150502,3.80857539658548
25,25.0,2.5,0.0132504165781772,3.94465927782581
26,26.0,2.6,0.0137804332413043,4.0343017033146
27,27.0,2.7,0.0143104499044314,4.04984056973437
28,28.0,2.8,0.0148404665675585,4.24569124117363
29,29.0,2.9,0.0153704832306856,4.64736838824731
30,30.0,3.0,0.0159004998938127,4.53765392095941
31,31.0,3.1,0.0164305165569398,4.67536869226024
32,32.0,3.2,0.0169605332200669,5.06226188187211
33,33.0,3.3,0.017490549883194,4.94841270792423
34,34.0,3.4,0.0180205665463211,5.112936927207
35,35.0,3.5,0.0185505832094481,5.49643726563757
36,36.0,3.6,0.0190805998725752,5.4696347093938
37,37.0,3.7,0.0196106165357023,5.54412888780804
38,38.0,3.8,0.0201406331988294,5.94289139167978
39,39.0,3.9,0.0206706498619565,5.94381278114178
40,40.0,4.0,0.0212006665250836,5.9469431101069
41,41.0,4.1,0.0217306831882107,6.24977009107271
42,42.0,4.2,0.0222606998513378,6.39502874799098
43,43.0,4.3,0.0227907165144649,6.52337231555387
44,44.0,4.4,0.023320733177592,6.55438817989752
45,45.0,4.5,0.023850749840719,6.97167481463341
46,46.0,4.6,0.0243807665038461,6.92250638225458
47,47.0,4.7,0.0249107831669732,7.1139009535767
48,48.0,4.8,0.0254407998301003,7.54586270316948
49,49.0,4.9,0.0259708164932274,7.38051012443553
50,50.0,5.0,0.0265008331563545,7.79061491317823
51,51.0,5.1,0.0270308498194816,7.94526925149085
52,52.0,5.2,0.0275608664826087,7.84888330692061
53,53.0,5.3,0.0280908831457358,8.51118846517318
54,54.0,5.4,0.0286208998088629,8.48196802973213
55,55.0,5.5,0.0291509164719899,8.81511855682558
56,56.0,5.6,0.029680933135117,9.06431358004146
57,57.0,5.7,0.0302109497982441,9.24074442058336
58,58.0,5.8,0.0307409664613712,9.64677009060058
59,59.0,5.9,0.0312709831244983,9.58487009290983
60,60.0,6.0,0.0318009997876254,10.2677709533142
61,61.0,6.1,0.0323310164507525,10.2276655780186
62,62.0,6.2,0.0328610331138796,10.8895370296385
63,63.0,6.3,0.0333910497770067,10.9256089811855
64,64.0,6.4,0.0339210664401338,11.5569284247963
65,65.0,6.5,0.0344510831032608,11.5179540248484
66,66.0,6.6,0.0349810997663879,12.2226519644282
67,67.0,6.7,0.035511116429515,12.2045294053278
68,68.0,6.8,0.0360411330926421,12.7694120371572
69,69.0,6.9,0.0365711497557692,12.890664244854
70,70.0,7.0,0.0371011664188963,13.3261089844074
71,71.0,7.1,0.0376311830820234,13.5036144677195
72,72.0,7.2,0.0381611997451505,14.0808144995473
73,73.0,7.3,0.0386912164082776,14.1676546094954
74,74.0,7.4,0.0392212330714047,14.747979900833
75,75.0,7.5,0.0397512497345317,14.8587849105105
76,76.0,7.6,0.0402812663976588,15.3999008714472
77,77.0,7.7,0.0408112830607859,15.600927616424
78,78.0,7.8,0.041341299723913,15.9163254784672
79,79.0,7.9,0.0418713163870401,16.1967526916004
80,80.0,8.0,0.0424013330501672,16.5673793485485
81,81.0,8.1,0.0429313497132943,16.7426684758785
82,82.0,8.2,0.0434613663764214,17.0249246197902
83,83.0,8.3,0.0439913830395485,17.0937573180307
84,84.0,8.4,0.0445213997026756,17.2726556009658
85,85.0,8.5,0.0450514163658026,17.6767068689079
86,86.0,8.6,0.0455814330289297,17.9061223913783
87,87.0,8.7,0.0461114496920568,18.2661007103942
88,88.0,8.8,0.0466414663551839,18.5225154485207
89,89.0,8.9,0.047171483018311,18.5876049531518
90,90.0,9.0,0.0477014996814381,18.7417560526301
91,91.0,9.1,0.0482315163445652,18.4243168415033
92,92.0,9.2,0.0487615330076923,17.8651927033974
93,93.0,9.3,0.0492915496708194,17.392401400082
94,94.0,9.4,0.0498215663339465,17.2086420662842
95,95.0,9.5,0.0503515829970735,17.1626909639798
96,96.0,9.6,0.0508815996602006,17.0299663272276
97,97.0,9.7,0.0514116163233277,16.8563347276528
98,98.0,9.8,0.0519416329864548,17.0764088275424
99,99.0,9.9,0.0524716496495819,17.2595884961942
100,100.0,10.0,0.053001666312709,17.156446253491
101,101.0,10.1,0.0535316829758361,17.1230257700856
102,102.0,10.2,0.0540616996389632,17.3511408881694
103,103.0,10.3,0.0545917163020903,17.3228832819268
104,104.0,10.4,0.0551217329652174,17.5915139960229
105,105.0,10.5,0.0556517496283444,17.5778011097928
106,106.0,10.6,0.0561817662914715,17.6468800416307
107,107.0,10.7,0.0567117829545986,17.6082344426711
108,108.0,10.8,0.0572417996177257,17.5768648854194
109,109.0,10.9,0.0577718162808528,17.7673969144293
110,110.0,11.0,0.0583018329439799,17.8043971187256
111,111.0,11.1,0.058831849607107,17.9614098728104
112,112.0,11.2,0.0593618662702341,18.0302176399928
113,113.0,11.3,0.0598918829333612,18.0841193883332
114,114.0,11.4,0.0604218995964883,18.1101122978994
115,115.0,11.5,0.0609519162596153,18.067212077758
116,116.0,11.6,0.0614819329227424,17.6956836893054
117,117.0,11.7,0.0620119495858695,18.1092510799599
118,118.0,11.8,0.0625419662489966,18.0259337940577
119,119.0,11.9,0.0630719829121237,18.05934563814
120,120.0,12.0,0.0636019995752508,18.219728454699
121,121.0,12.1,0.0641320162383779,18.1318375687583
122,122.0,12.2,0.064662032901505,18.2862921037364
123,123.0,12.3,0.0651920495646321,18.2222229345062
124,124.0,12.4,0.0657220662277592,18.4154290695876
125,125.0,12.5,0.0662520828908862,18.6084557616937
126,126.0,12.6,0.0667820995540133,18.532568342847
127,127.0,12.7,0.0673121162171404,18.6385582748342
128,128.0,12.8,0.0678421328802675,18.7289487722229
129,129.0,12.9,0.0683721495433946,18.7272165693352
130,130.0,13.0,0.0689021662065217,18.7875051849694
131,131.0,13.1,0.0694321828696488,18.9503374374726
132,132.0,13.2,0.0699621995327759,18.958444209602
133,133.0,13.3,0.070492216195903,19.067020234795
134,134.0,13.4,0.0710222328590301,19.0980869988262
135,135.0,13.5,0.0715522495221571,19.1497913857806
136,136.0,13.6,0.0720822661852842,19.2064029725151
137,137.0,13.7,0.0726122828484113,19.2732591497803
138,138.0,13.8,0.0731422995115384,19.1114481200104
139,139.0,13.9,0.0736723161746655,19.134383554537
140,140.0,14.0,0.0742023328377926,19.279675741127
141,141.0,14.1,0.0747323495009197,19.2167802857198
