chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.000547866619851742,0.186580594381979
2,2.0,0.2,0.00109573323970348,0.13739731119715
3,3.0,0.3,0.00164359985955522,0.66817969950753
4,4.0,0.4,0.00219146647940697,0.54018490382319
5,5.0,0.5,0.00273933309925871,1.08843483111954
6,6.0,0.6,0.00328719971911045,1.0755491910007
7,7.0,0.7,0.00383506633896219,1.01534423023664
8,8.0,0.8,0.00438293295881393,1.67904154880926
9,9.0,0.9,0.00493079957866567,1.59436208135207
10,10.0,1.0,0.00547866619851742,2.01058910659769
11,11.0,1.1,0.00602653281836916,2.12799494218796
12,12.0,1.2,0.0065743994382209,2.22426043321242
13,13.0,1.3,0.00712226605807264,2.75822364043784
14,14.0,1.4,0.00767013267792438,2.47314373591129
15,15.0,1.5,0.00821799929777613,2.97824266364113
16,16.0,1.6,0.00876586591762787,3.0384393713583
17,17.0,1.7,0.00931373253747961,3.25511994365541
18,18.0,1.8,0.00986159915733135,3.46850071494228
19,19.0,1.9,0.0104094657771831,3.3480489086047
20,20.0,2.0,0.0109573323970348,3.91130732973256
21,21.0,2.1,0.0115051990168866,3.85058141843786
22,22.0,2.2,0.0120530656367383,4.1864662856748
23,23.0,2.3,0.0126009322565901,4.43584620346871
24,24.0,2.4,0.0131487988764418,4.5895398664356
25,25.0,2.5,0.0136966654962935,4.81393305428141
26,26.0,2.6,0.0142445321161453,4.79545516077202
27,27.0,2.7,0.014792398735997,4.93584173238454
28,28.0,2.8,0.0153402653558488,5.28345899864276
29,29.0,2.9,0.0158881319757005,5.11850871969654
30,30.0,3.0,0.0164359985955523,5.67917407270579
31,31.0,3.1,0.016983865215404,5.58124804874253
32,32.0,3.2,0.0175317318352557,5.83690219292492
33,33.0,3.3,0.0180795984551075,6.27703570532893
34,34.0,3.4,0.0186274650749592,6.13344780067337
35,35.0,3.5,0.019175331694811,6.62353968827892
36,36.0,3.6,0.0197231983146627,6.60395812621024
37,37.0,3.7,0.0202710649345144,6.69469706810084
38,38.0,3.8,0.0208189315543662,7.17663990810457
39,39.0,3.9,0.0213667981742179,6.97600544888039
40,40.0,4.0,0.0219146647940697,7.46897512627723
41,41.0,4.1,0.0224625314139214,7.61664754298625
