chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.000557289397238533,0.5394767573313
2,2.0,0.2,0.00111457879447707,0.21655553631262
3,3.0,0.3,0.0016718681917156,0.8768210404629
4,4.0,0.4,0.00222915758895413,0.93408300868683
5,5.0,0.5,0.00278644698619267,1.10063448996992
6,6.0,0.6,0.0033437363834312,1.30334967885194
7,7.0,0.7,0.00390102578066973,1.18714676865124
8,8.0,0.8,0.00445831517790827,1.87506144586035
9,9.0,0.9,0.0050156045751468,1.77296991649451
10,10.0,1.0,0.00557289397238533,1.88894933578162
11,11.0,1.1,0.00613018336962387,2.26936636811155
12,12.0,1.2,0.0066874727668624,2.03738616260635
13,13.0,1.3,0.00724476216410093,2.71957995165687
14,14.0,1.4,0.00780205156133946,2.50685042160903
15,15.0,1.5,0.008359340958578,2.87158019100508
16,16.0,1.6,0.00891663035581653,3.03684171767953
17,17.0,1.7,0.00947391975305506,2.91033980241825
18,18.0,1.8,0.0100312091502936,3.46403082438909
19,19.0,1.9,0.0105884985475321,3.49360383859116
20,20.0,2.0,0.0111457879447707,3.73361407592692
21,21.0,2.1,0.0117030773420092,3.96752886751882
22,22.0,2.2,0.0122603667392477,3.74697809970343
23,23.0,2.3,0.0128176561364863,4.38026852533927
24,24.0,2.4,0.0133749455337248,4.14501507786325
25,25.0,2.5,0.0139322349309633,4.59330800762037
26,26.0,2.6,0.0144895243282019,4.918455439401
27,27.0,2.7,0.0150468137254404,4.51978833797302
28,28.0,2.8,0.0156041031226789,5.15842894272178
29,29.0,2.9,0.0161613925199175,5.13052763558304
30,30.0,3.0,0.016718681917156,5.349874336048
31,31.0,3.1,0.0172759713143945,5.35942463578856
32,32.0,3.2,0.0178332607116331,5.45147840852514
33,33.0,3.3,0.0183905501088716,5.93538416183973
34,34.0,3.4,0.0189478395061101,5.98651766971159
35,35.0,3.5,0.0195051289033487,6.00155528215509
36,36.0,3.6,0.0200624183005872,6.52152022308209
37,37.0,3.7,0.0206197076978257,6.1573823712814
38,38.0,3.8,0.0211769970950643,6.69587241722925
39,39.0,3.9,0.0217342864923028,6.82795707174813
40,40.0,4.0,0.0222915758895413,7.07809396903701
41,41.0,4.1,0.0228488652867799,7.32491855794775
42,42.0,4.2,0.0234061546840184,7.10006225490212
43,43.0,4.3,0.0239634440812569,7.71494042839109
44,44.0,4.4,0.0245207334784955,7.70012323818328
45,45.0,4.5,0.025078022875734,7.97105554725706
46,46.0,4.6,0.0256353122729725,8.35155053953194
47,47.0,4.7,0.0261926016702111,8.18721652408563
48,48.0,4.8,0.0267498910674496,8.86814142875081
49,49.0,4.9,0.0273071804646881,8.60676850930495
50,50.0,5.0,0.0278644698619267,9.24183257195546
51,51.0,5.1,0.0284217592591652,9.32322767828027
52,52.0,5.2,0.0289790486564037,9.78283487686614
53,53.0,5.3,0.0295363380536423,9.87595394873084
54,54.0,5.4,0.0300936274508808,10.2691295669473
55,55.0,5.5,0.0306509168481193,10.4265770967365
56,56.0,5.6,0.0312082062453579,10.6697876017535
57,57.0,5.7,0.0317654956425964,10.959993147894
58,58.0,5.8,0.0323227850398349,11.037938774211
59,59.0,5.9,0.0328800744370735,11.4696124700544
60,60.0,6.0,0.033437363834312,11.5800137291032
61,61.0,6.1,0.0339946532315505,11.8931236975054
62,62.0,6.2,0.0345519426287891,12.174023033708
63,63.0,6.3,0.0351092320260276,12.4887594202706
64,64.0,6.4,0.0356665214232661,12.6733457910498
65,65.0,6.5,0.0362238108205047,13.1444009066319
66,66.0,6.6,0.0367811002177432,13.2519941316433
67,67.0,6.7,0.0373383896149817,13.6287337838259
68,68.0,6.8,0.0378956790122203,14.0208422579919
