chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.000547866619851742,0.17644787395773
2,2.0,0.2,0.00109573323970348,0.20962572934792
3,3.0,0.3,0.00164359985955522,0.62903933517428
4,4.0,0.4,0.00219146647940697,0.67550197090794
5,5.0,0.5,0.00273933309925871,1.11612486783957
6,6.0,0.6,0.00328719971911045,1.05274824578204
7,7.0,0.7,0.00383506633896219,1.12900085788583
8,8.0,0.8,0.00438293295881393,1.63425772610948
9,9.0,0.9,0.00493079957866567,1.62372817272141
10,10.0,1.0,0.00547866619851742,1.91978281459523
11,11.0,1.1,0.00602653281836916,2.08527707277003
12,12.0,1.2,0.0065743994382209,2.27025682435875
13,13.0,1.3,0.00712226605807264,2.67413982455325
14,14.0,1.4,0.00767013267792438,2.49649858508203
15,15.0,1.5,0.00821799929777613,2.90318173498166
16,16.0,1.6,0.00876586591762787,3.07783796196544
17,17.0,1.7,0.00931373253747961,3.24848522646996
18,18.0,1.8,0.00986159915733135,3.44590684008507
19,19.0,1.9,0.0104094657771831,3.46397671532402
20,20.0,2.0,0.0109573323970348,3.94899546314987
21,21.0,2.1,0.0115051990168866,3.92458776400144
22,22.0,2.2,0.0120530656367383,4.24825055770014
23,23.0,2.3,0.0126009322565901,4.38812264110749
24,24.0,2.4,0.0131487988764418,4.43760904301282
25,25.0,2.5,0.0136966654962935,4.78615890098385
26,26.0,2.6,0.0142445321161453,4.66568267621548
27,27.0,2.7,0.014792398735997,5.0426455621938
28,28.0,2.8,0.0153402653558488,5.14183113632225
29,29.0,2.9,0.0158881319757005,5.26837865255761
30,30.0,3.0,0.0164359985955523,5.57499082453897
31,31.0,3.1,0.016983865215404,5.70835496374788
32,32.0,3.2,0.0175317318352557,5.79624677710179
33,33.0,3.3,0.0180795984551075,6.15075980065841
34,34.0,3.4,0.0186274650749592,6.15514399008929
35,35.0,3.5,0.019175331694811,6.59240760545185
36,36.0,3.6,0.0197231983146627,6.58264141001293
37,37.0,3.7,0.0202710649345144,6.7891827500379
38,38.0,3.8,0.0208189315543662,7.06779674105085
39,39.0,3.9,0.0213667981742179,7.02387217936356
40,40.0,4.0,0.0219146647940697,7.32407244240418
41,41.0,4.1,0.0224625314139214,7.62749356600883
42,42.0,4.2,0.0230103980337731,7.69667193978272
43,43.0,4.3,0.0235582646536249,8.02429126221535
44,44.0,4.4,0.0241061312734766,8.0281179258205
45,45.0,4.5,0.0246539978933284,8.48044948147277
46,46.0,4.6,0.0252018645131801,8.67760524078449
47,47.0,4.7,0.0257497311330319,8.81459166254954
48,48.0,4.8,0.0262975977528836,9.11080816145454
49,49.0,4.9,0.0268454643727353,9.09889237151485
50,50.0,5.0,0.0273933309925871,9.63970153397324
51,51.0,5.1,0.0279411976124388,9.426829592441
52,52.0,5.2,0.0284890642322906,9.76110438060864
53,53.0,5.3,0.0290369308521423,10.0440700591315
54,54.0,5.4,0.0295847974719941,10.2380490565184
55,55.0,5.5,0.0301326640918458,10.6499884490116
56,56.0,5.6,0.0306805307116975,10.5743098196057
57,57.0,5.7,0.0312283973315493,11.0651938852726
58,58.0,5.8,0.031776263951401,11.0847835292634
59,59.0,5.9,0.0323241305712528,11.623249467071
60,60.0,6.0,0.0328719971911045,11.599008712583
61,61.0,6.1,0.0334198638109562,11.9968973281489
62,62.0,6.2,0.033967730430808,12.0038987088675
63,63.0,6.3,0.0345155970506597,12.408042116675
64,64.0,6.4,0.0350634636705115,12.5758505766136
65,65.0,6.5,0.0356113302903632,12.8821669382166
66,66.0,6.6,0.0361591969102149,13.099392466728
67,67.0,6.7,0.0367070635300667,13.3626356930239
68,68.0,6.8,0.0372549301499184,13.5006640278187
69,69.0,6.9,0.0378027967697702,13.6835660157755
70,70.0,7.0,0.0383506633896219,14.0615228410147
71,71.0,7.1,0.0388985300094737,14.1335111287235
72,72.0,7.2,0.0394463966293254,14.6289491542577
73,73.0,7.3,0.0399942632491771,14.7382367367608
74,74.0,7.4,0.0405421298690289,14.9548569487237
75,75.0,7.5,0.0410899964888806,15.2282050067967
76,76.0,7.6,0.0416378631087324,15.3898718538113
77,77.0,7.7,0.0421857297285841,15.4648137002823
78,78.0,7.8,0.0427335963484358,15.9176532031262
79,79.0,7.9,0.0432814629682876,16.0320775234424
80,80.0,8.0,0.0438293295881393,16.3146654804402
81,81.0,8.1,0.0443771962079911,16.5851891826245
82,82.0,8.2,0.0449250628278428,16.6939051978952
83,83.0,8.3,0.0454729294476946,16.8698267119421
84,84.0,8.4,0.0460207960675463,17.3169209955945
85,85.0,8.5,0.046568662687398,17.3642504193798
86,86.0,8.6,0.0471165293072498,17.7740725460255
87,87.0,8.7,0.0476643959271015,17.9004273838769
88,88.0,8.8,0.0482122625469533,18.1266226308847
89,89.0,8.9,0.048760129166805,18.2697052140146
90,90.0,9.0,0.0493079957866567,18.5665039794626
