chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.08,0.000425083673340078,-0.0217863336443802
2,2.0,0.16,0.000850167346680157,0.16252160855578
3,3.0,0.24,0.00127525102002024,0.54114511665223
4,4.0,0.32,0.00170033469336031,0.50694883654093
5,5.0,0.4,0.00212541836670039,0.98662692197477
6,6.0,0.48,0.00255050204004047,0.90006708801338
7,7.0,0.56,0.00297558571338055,1.26578494481589
8,8.0,0.64,0.00340066938672063,1.31966898826952
9,9.0,0.72,0.00382575306006071,1.4652693644168
10,10.0,0.8,0.00425083673340078,1.75818760872467
11,11.0,0.88,0.00467592040674086,1.75493405309527
12,12.0,0.96,0.00510100408008094,2.43494082742674
13,13.0,1.04,0.00552608775342102,2.20143278855048
14,14.0,1.12,0.0059511714267611,2.5013585821025
15,15.0,1.2,0.00637625510010118,2.53362955668547
16,16.0,1.28,0.00680133877344125,2.69895156669086
17,17.0,1.36,0.00722642244678133,3.05519063086043
18,18.0,1.44,0.00765150612012141,3.01268171137318
19,19.0,1.52,0.00807658979346149,3.59555134533788
20,20.0,1.6,0.00850167346680157,3.41835231368538
21,21.0,1.68,0.00892675714014165,3.64383294058723
22,22.0,1.76,0.00935184081348172,3.86074485223301
23,23.0,1.84,0.0097769244868218,3.83715298918173
24,24.0,1.92,0.0102020081601619,4.44464235761529
25,25.0,2.0,0.010627091833502,4.21120079569341
26,26.0,2.08,0.011052175506842,4.55939146655642
27,27.0,2.16,0.0114772591801821,4.65424539788439
28,28.0,2.24,0.0119023428535222,4.66962762327347
29,29.0,2.32,0.0123274265268623,4.77300461975708
30,30.0,2.4,0.0127525102002024,4.70095486910633
31,31.0,2.48,0.0131775938735424,5.16622623371722
32,32.0,2.56,0.0136026775468825,5.06955958557743
33,33.0,2.64,0.0140277612202226,5.28017340377267
34,34.0,2.72,0.0144528448935627,5.45319190219808
35,35.0,2.8,0.0148779285669027,5.50136952027477
36,36.0,2.88,0.0153030122402428,5.93344322288534
37,37.0,2.96,0.0157280959135829,5.87545299963118
38,38.0,3.04,0.016153179586923,6.02957681515351
39,39.0,3.12,0.0165782632602631,6.33236434225719
40,40.0,3.2,0.0170033469336031,6.30177596893443
41,41.0,3.28,0.0174284306069432,6.76837650557954
42,42.0,3.36,0.0178535142802833,6.67455616136345
43,43.0,3.44,0.0182785979536234,6.85655257299006
44,44.0,3.52,0.0187036816269634,7.13159366891646
45,45.0,3.6,0.0191287653003035,7.10687891742999
46,46.0,3.68,0.0195538489736436,7.48869198164605
47,47.0,3.76,0.0199789326469837,7.48617581936378
48,48.0,3.84,0.0204040163203238,7.61829972077698
49,49.0,3.92,0.0208290999936638,7.89662815114084
50,50.0,4.0,0.0212541836670039,7.91582850304374
51,51.0,4.08,0.021679267340344,8.21406099314622
52,52.0,4.16,0.0221043510136841,8.28192775278876
53,53.0,4.24,0.0225294346870242,8.30802700423147
54,54.0,4.32,0.0229545183603642,8.8141639572164
55,55.0,4.4,0.0233796020337043,8.59199653426478
56,56.0,4.48,0.0238046857070444,8.89722596430249
57,57.0,4.56,0.0242297693803845,9.01160187272409
58,58.0,4.64,0.0246548530537245,9.02831891860667
59,59.0,4.72,0.0250799367270646,9.49940172706953
60,60.0,4.8,0.0255050204004047,9.40510853712827
61,61.0,4.88,0.0259301040737448,9.61965560768408
62,62.0,4.96,0.0263551877470849,9.81910566034437
63,63.0,5.04,0.0267802714204249,9.72631818878306
64,64.0,5.12,0.027205355093765,10.1472179099141
65,65.0,5.2,0.0276304387671051,10.1287757261278
66,66.0,5.28,0.0280555224404452,10.1597744588341
67,67.0,5.36,0.0284806061137853,10.5699091716942
68,68.0,5.44,0.0289056897871253,10.4732630984301
69,69.0,5.52,0.0293307734604654,10.6885372179567
70,70.0,5.6,0.0297558571338055,10.9550083760645
71,71.0,5.68,0.0301809408071456,10.8186562118593
72,72.0,5.76,0.0306060244804856,11.147660124775
73,73.0,5.84,0.0310311081538257,11.2227345564689
74,74.0,5.92,0.0314561918271658,11.3402972597466
75,75.0,6.0,0.0318812755005059,11.6799648163309
76,76.0,6.08,0.032306359173846,11.6026371489059
