chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.08,0.000425083673340078,-0.0275697104199493
2,2.0,0.16,0.000850167346680157,0.1578268586491
3,3.0,0.24,0.00127525102002024,0.37764544539238
4,4.0,0.32,0.00170033469336031,0.376700691673751
5,5.0,0.4,0.00212541836670039,1.04142876278177
6,6.0,0.48,0.00255050204004047,0.73755445595755
7,7.0,0.56,0.00297558571338055,1.27917251672889
8,8.0,0.64,0.00340066938672063,1.20979267088927
9,9.0,0.72,0.00382575306006071,1.42339652118416
10,10.0,0.8,0.00425083673340078,1.64839332938237
11,11.0,0.88,0.00467592040674086,1.75891191929802
12,12.0,0.96,0.00510100408008094,2.28029263166891
13,13.0,1.04,0.00552608775342102,1.99304101486475
14,14.0,1.12,0.0059511714267611,2.43383605987652
15,15.0,1.2,0.00637625510010118,2.50367455601099
16,16.0,1.28,0.00680133877344125,2.64199389276966
17,17.0,1.36,0.00722642244678133,3.02607015892998
18,18.0,1.44,0.00765150612012141,2.96074875816854
19,19.0,1.52,0.00807658979346149,3.58236019612308
20,20.0,1.6,0.00850167346680157,3.25831939552511
21,21.0,1.68,0.00892675714014165,3.6465376394744
22,22.0,1.76,0.00935184081348172,3.70808087571212
23,23.0,1.84,0.0097769244868218,3.82294735521559
24,24.0,1.92,0.0102020081601619,4.32337624659747
25,25.0,2.0,0.010627091833502,4.18084061515336
26,26.0,2.08,0.011052175506842,4.41120788914347
27,27.0,2.16,0.0114772591801821,4.48354687132324
28,28.0,2.24,0.0119023428535222,4.67861740982903
29,29.0,2.32,0.0123274265268623,4.75811584740958
30,30.0,2.4,0.0127525102002024,4.80105351581466
31,31.0,2.48,0.0131775938735424,5.16480177717731
32,32.0,2.56,0.0136026775468825,5.04204569015918
33,33.0,2.64,0.0140277612202226,5.23831361379402
34,34.0,2.72,0.0144528448935627,5.45701667934489
35,35.0,2.8,0.0148779285669027,5.61368725598705
36,36.0,2.88,0.0153030122402428,5.95584215664236
37,37.0,2.96,0.0157280959135829,5.78430712426616
38,38.0,3.04,0.016153179586923,6.09325880362691
39,39.0,3.12,0.0165782632602631,6.18653470035347
40,40.0,3.2,0.0170033469336031,6.34114632589227
41,41.0,3.28,0.0174284306069432,6.73730850593665
42,42.0,3.36,0.0178535142802833,6.68812064542938
43,43.0,3.44,0.0182785979536234,6.86045464598428
44,44.0,3.52,0.0187036816269634,7.04127195151664
45,45.0,3.6,0.0191287653003035,7.0597065249286
46,46.0,3.68,0.0195538489736436,7.51332834290377
47,47.0,3.76,0.0199789326469837,7.46663783711719
48,48.0,3.84,0.0204040163203238,7.65418042366386
49,49.0,3.92,0.0208290999936638,7.85845322441901
50,50.0,4.0,0.0212541836670039,7.91647620207502
51,51.0,4.08,0.021679267340344,8.21804558035379
52,52.0,4.16,0.0221043510136841,8.25854302386239
53,53.0,4.24,0.0225294346870242,8.37504072997486
54,54.0,4.32,0.0229545183603642,8.75059270562144
55,55.0,4.4,0.0233796020337043,8.60062077881789
