chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.000547866619851742,0.21060615019431
2,2.0,0.2,0.00109573323970348,0.11301319631636
3,3.0,0.3,0.00164359985955522,0.77251914913084
4,4.0,0.4,0.00219146647940697,0.5405076879083
5,5.0,0.5,0.00273933309925871,1.17230817881463
6,6.0,0.6,0.00328719971911045,1.05952150118584
7,7.0,0.7,0.00383506633896219,1.1620411775976
8,8.0,0.8,0.00438293295881393,1.60512374120001
9,9.0,0.9,0.00493079957866567,1.53061585637281
10,10.0,1.0,0.00547866619851742,1.91668869544764
11,11.0,1.1,0.00602653281836916,2.11612716644165
12,12.0,1.2,0.0065743994382209,2.28399134992054
13,13.0,1.3,0.00712226605807264,2.70752658531388
14,14.0,1.4,0.00767013267792438,2.51175909455838
15,15.0,1.5,0.00821799929777613,3.09147988210451
16,16.0,1.6,0.00876586591762787,2.84039111493867
17,17.0,1.7,0.00931373253747961,3.19053315691568
18,18.0,1.8,0.00986159915733135,3.4366631558165
19,19.0,1.9,0.0104094657771831,3.37128425163166
20,20.0,2.0,0.0109573323970348,4.0928399474514
21,21.0,2.1,0.0115051990168866,3.78172137654748
22,22.0,2.2,0.0120530656367383,4.16484090480574
23,23.0,2.3,0.0126009322565901,4.43907240953935
24,24.0,2.4,0.0131487988764418,4.50345572787154
25,25.0,2.5,0.0136966654962935,4.58212330324539
26,26.0,2.6,0.0142445321161453,4.69347110340112
27,27.0,2.7,0.014792398735997,4.81401072116976
28,28.0,2.8,0.0153402653558488,5.15584274527466
29,29.0,2.9,0.0158881319757005,5.07407071568307
30,30.0,3.0,0.0164359985955523,5.70657364852419
31,31.0,3.1,0.016983865215404,5.47327620010409
32,32.0,3.2,0.0175317318352557,5.73225673210927
33,33.0,3.3,0.0180795984551075,6.19131275827964
34,34.0,3.4,0.0186274650749592,6.05443483454424
35,35.0,3.5,0.019175331694811,6.66349345574062
36,36.0,3.6,0.0197231983146627,6.42831847052964
37,37.0,3.7,0.0202710649345144,6.63956364190714
38,38.0,3.8,0.0208189315543662,7.07154694224024
39,39.0,3.9,0.0213667981742179,6.83786629995127
40,40.0,4.0,0.0219146647940697,7.5462949351861
41,41.0,4.1,0.0224625314139214,7.42464263051875
42,42.0,4.2,0.0230103980337731,7.55286340949307
43,43.0,4.3,0.0235582646536249,8.03988191378762
44,44.0,4.4,0.0241061312734766,7.92277199870674
45,45.0,4.5,0.0246539978933284,8.39207346481609
46,46.0,4.6,0.0252018645131801,8.3673164373822
47,47.0,4.7,0.0257497311330319,8.5636183749748
48,48.0,4.8,0.0262975977528836,8.96577191525595
49,49.0,4.9,0.0268454643727353,8.8459562790664
