chunk,time_ps,opening_A,strain_nominal,stress
0,0.0,0.0,0.0,-0
1,1.0,0.1,0.000557289397238533,0.43910507535209
2,2.0,0.2,0.00111457879447707,0.29562581588298
3,3.0,0.3,0.0016718681917156,0.85773828662134
4,4.0,0.4,0.00222915758895413,0.94366262738189
5,5.0,0.5,0.00278644698619267,1.2020879137448
6,6.0,0.6,0.0033437363834312,1.31190519881116
7,7.0,0.7,0.00390102578066973,1.13790802563461
8,8.0,0.8,0.00445831517790827,1.83896771236969
9,9.0,0.9,0.0050156045751468,1.77320927055641
10,10.0,1.0,0.00557289397238533,1.96322475246565
11,11.0,1.1,0.00613018336962387,2.24979309144195
12,12.0,1.2,0.0066874727668624,2.05486726039828
13,13.0,1.3,0.00724476216410093,2.69785184845422
14,14.0,1.4,0.00780205156133946,2.58546343042174
15,15.0,1.5,0.008359340958578,2.87532476286811
16,16.0,1.6,0.00891663035581653,3.04513741719977
17,17.0,1.7,0.00947391975305506,2.8751438749232
18,18.0,1.8,0.0100312091502936,3.49758447015283
19,19.0,1.9,0.0105884985475321,3.5123100136675
20,20.0,2.0,0.0111457879447707,3.70209359865065
21,21.0,2.1,0.0117030773420092,3.97632981440725
22,22.0,2.2,0.0122603667392477,3.73266003267761
23,23.0,2.3,0.0128176561364863,4.49765429522511
24,24.0,2.4,0.0133749455337248,4.24961560669352
25,25.0,2.5,0.0139322349309633,4.53170681730045
26,26.0,2.6,0.0144895243282019,4.84310023208014
27,27.0,2.7,0.0150468137254404,4.63318213892959
28,28.0,2.8,0.0156041031226789,5.23038540204466
29,29.0,2.9,0.0161613925199175,5.11384157248551
30,30.0,3.0,0.016718681917156,5.35718685216468
31,31.0,3.1,0.0172759713143945,5.27947099631083
32,32.0,3.2,0.0178332607116331,5.33807245689292
33,33.0,3.3,0.0183905501088716,4.87560458392471
34,34.0,3.4,0.0189478395061101,4.85659948608252
35,35.0,3.5,0.0195051289033487,4.7946283559727
36,36.0,3.6,0.0200624183005872,4.49550621761976
37,37.0,3.7,0.0206197076978257,4.60528749778511
38,38.0,3.8,0.0211769970950643,4.00619321205576
39,39.0,3.9,0.0217342864923028,4.07684317100818
40,40.0,4.0,0.0222915758895413,3.84164350057053
41,41.0,4.1,0.0228488652867799,3.63787525375399
42,42.0,4.2,0.0234061546840184,3.68168860052756
43,43.0,4.3,0.0239634440812569,3.13178176815722
44,44.0,4.4,0.0245207334784955,3.12178903457714
45,45.0,4.5,0.025078022875734,2.72028075319255
46,46.0,4.6,0.0256353122729725,2.50971921728371
47,47.0,4.7,0.0261926016702111,2.66726112654694
48,48.0,4.8,0.0267498910674496,2.00796970085397
